phase,generation,best_loss,median_loss,worst_loss,step,current_loss
differential_evolution,0.0,2.6074975129491103,4.200209022679056,5.6018838972124385,,
differential_evolution,1.0,2.6074975129491103,3.9644057374906887,5.187823651211668,,
differential_evolution,2.0,2.6074975129491103,3.706856783249455,4.9560107919858805,,
differential_evolution,3.0,2.6074975129491103,3.5194941933526254,4.3965761462335395,,
differential_evolution,4.0,2.4816545553732787,3.3686796701542443,4.274466847092636,,
differential_evolution,5.0,2.4816545553732787,3.266305420201493,4.2490102217376045,,
differential_evolution,6.0,2.4816545553732787,3.2084840544988467,4.130605209828777,,
differential_evolution,7.0,2.4816545553732787,3.1463123316286485,4.048349714050424,,
differential_evolution,8.0,2.4190554611620625,3.1039503834470317,3.8435455341990306,,
differential_evolution,9.0,2.3090982640904967,3.0352127265872713,3.8435455341990306,,
differential_evolution,10.0,2.3090982640904967,2.9861118028536344,3.8245223608788645,,
differential_evolution,11.0,2.3090982640904967,2.9660910922354624,3.5743095665660003,,
differential_evolution,12.0,2.3090982640904967,2.935353598906017,3.5743095665660003,,
differential_evolution,13.0,2.3090982640904967,2.8791834170735178,3.5743095665660003,,
differential_evolution,14.0,2.3090982640904967,2.8365459863806226,3.5743095665660003,,
differential_evolution,15.0,2.282344313163436,2.7965086328437305,3.331618536009999,,
differential_evolution,16.0,2.282344313163436,2.786727049734021,3.2261661874994663,,
differential_evolution,17.0,2.282344313163436,2.763123229624443,3.2261661874994663,,
differential_evolution,18.0,2.282344313163436,2.7384088452160196,3.1751096860810377,,
differential_evolution,19.0,2.252767967603694,2.7298624769493265,3.1705006923756067,,
differential_evolution,20.0,2.1873791522827397,2.6881347637540722,3.1705006923756067,,
differential_evolution,21.0,2.15828655495112,2.6611444514874574,3.1705006923756067,,
differential_evolution,22.0,2.15828655495112,2.625282854231048,3.1705006923756067,,
differential_evolution,23.0,2.1460260664992656,2.5870173180042464,3.0061310075241234,,
differential_evolution,24.0,2.1460260664992656,2.5815573588236553,3.0061310075241234,,
differential_evolution,25.0,2.1460260664992656,2.548008919750334,3.0061310075241234,,
differential_evolution,26.0,2.1460260664992656,2.5198274455946983,3.0061310075241234,,
differential_evolution,27.0,2.1082341999917076,2.498074827268236,3.0061310075241234,,
differential_evolution,28.0,2.0768995394218313,2.4726922458563587,2.8909573636121357,,
differential_evolution,29.0,2.0768995394218313,2.4480243303058216,2.8369981284784416,,
differential_evolution,30.0,2.0768995394218313,2.438335698693337,2.8369981284784416,,
differential_evolution,31.0,2.0459442117843665,2.420064395281262,2.8369981284784416,,
differential_evolution,32.0,2.0459442117843665,2.4182012617417032,2.8369981284784416,,
differential_evolution,33.0,2.0459442117843665,2.394850352444697,2.8369981284784416,,
differential_evolution,34.0,2.045278697054794,2.3741810396606224,2.8369981284784416,,
differential_evolution,35.0,2.045278697054794,2.359344749222319,2.6622565715200754,,
differential_evolution,36.0,2.045278697054794,2.342073638967764,2.602421609807856,,
differential_evolution,37.0,2.045278697054794,2.326641859200807,2.602421609807856,,
differential_evolution,38.0,2.045278697054794,2.3111256676374743,2.59713983615563,,
differential_evolution,39.0,2.018803117463833,2.290556555231542,2.59713983615563,,
differential_evolution,40.0,2.018803117463833,2.2831709214702243,2.59713983615563,,
differential_evolution,41.0,2.018803117463833,2.273433926981834,2.59713983615563,,
differential_evolution,42.0,1.9830054392204983,2.2638468563551886,2.59713983615563,,
differential_evolution,43.0,1.9830054392204983,2.2535300222537047,2.59713983615563,,
differential_evolution,44.0,1.9830054392204983,2.243346369976741,2.59713983615563,,
differential_evolution,45.0,1.958532906372862,2.2368531359518555,2.59713983615563,,
differential_evolution,46.0,1.958532906372862,2.226770248929186,2.59713983615563,,
differential_evolution,47.0,1.958532906372862,2.2179061530055533,2.510616660083054,,
differential_evolution,48.0,1.958532906372862,2.210946721793558,2.4845309976676093,,
differential_evolution,49.0,1.958532906372862,2.204012619022344,2.4845309976676093,,
differential_evolution,50.0,1.958532906372862,2.195740449798894,2.4845309976676093,,
differential_evolution,51.0,1.9472491758770185,2.1851374993818498,2.437004705445175,,
differential_evolution,52.0,1.9472491758770185,2.175079084877909,2.437004705445175,,
differential_evolution,53.0,1.9472491758770185,2.164379599959842,2.386047081389842,,
differential_evolution,54.0,1.9472491758770185,2.1616045042917404,2.3435072625542066,,
differential_evolution,55.0,1.8814783740813423,2.16006379691643,2.3435072625542066,,
differential_evolution,56.0,1.8814783740813423,2.150515566652249,2.309913001104833,,
differential_evolution,57.0,1.8814783740813423,2.143302724551723,2.309913001104833,,
differential_evolution,58.0,1.8814783740813423,2.1347149550619804,2.307119127499939,,
differential_evolution,59.0,1.8751708126429794,2.132146687849782,2.307119127499939,,
differential_evolution,60.0,1.8751708126429794,2.120584539775092,2.307119127499939,,
differential_evolution,61.0,1.8751708126429794,2.1140011541654387,2.30425125641521,,
differential_evolution,62.0,1.8751708126429794,2.104720870259955,2.30425125641521,,
differential_evolution,63.0,1.8539597805040922,2.0981813338370863,2.2868567787602365,,
differential_evolution,64.0,1.8539597805040922,2.0865357600614827,2.274457595895879,,
differential_evolution,65.0,1.8539597805040922,2.077461297844096,2.274457595895879,,
differential_evolution,66.0,1.8539597805040922,2.0754339503868824,2.274457595895879,,
differential_evolution,67.0,1.8539597805040922,2.07402539996566,2.274457595895879,,
differential_evolution,68.0,1.8539597805040922,2.0675388277873674,2.2454676147885357,,
differential_evolution,69.0,1.8539597805040922,2.057996481991765,2.2454676147885357,,
differential_evolution,70.0,1.8539597805040922,2.05120566314769,2.2454676147885357,,
differential_evolution,71.0,1.8539597805040922,2.0461121778921454,2.2454676147885357,,
