phase,generation,best_loss,median_loss,worst_loss,step,current_loss
differential_evolution,0.0,2.798781069458572,4.055303255255845,5.471849539703141,,
differential_evolution,1.0,2.40122590721101,3.7260566918291125,5.000401233711823,,
differential_evolution,2.0,2.2128951944185835,3.4773581451432456,4.714971036891197,,
differential_evolution,3.0,2.2128951944185835,3.2808643272663143,4.681317413122679,,
differential_evolution,4.0,2.2128951944185835,3.1647393657525615,4.331441984586774,,
differential_evolution,5.0,2.1808058909308032,3.081729147407013,4.22247426785776,,
differential_evolution,6.0,2.1808058909308032,2.945514655446651,3.852856184025081,,
differential_evolution,7.0,2.1808058909308032,2.8784430135366863,3.6936840782646763,,
differential_evolution,8.0,2.1808058909308032,2.7551322259743807,3.5586873303730555,,
differential_evolution,9.0,2.12396420499377,2.672810443436301,3.467128307322205,,
differential_evolution,10.0,2.12396420499377,2.580702026385593,3.467128307322205,,
differential_evolution,11.0,2.12396420499377,2.5100267474925317,3.467128307322205,,
differential_evolution,12.0,2.0494466515348497,2.456122017377006,3.467128307322205,,
differential_evolution,13.0,2.0494466515348497,2.4212046623262564,3.467128307322205,,
differential_evolution,14.0,2.0494466515348497,2.362473855584638,3.1319469914039018,,
differential_evolution,15.0,2.017303702041489,2.32377658225404,3.1319469914039018,,
differential_evolution,16.0,1.9369992443333213,2.2801283729872015,2.9542290288407287,,
differential_evolution,17.0,1.9369992443333213,2.2565932138484848,2.688887037086797,,
differential_evolution,18.0,1.910502623191293,2.233157678051933,2.6282287681171717,,
differential_evolution,19.0,1.910502623191293,2.207094601493152,2.6282287681171717,,
differential_evolution,20.0,1.844340912413128,2.182843147500484,2.6282287681171717,,
differential_evolution,21.0,1.844340912413128,2.168221444864839,2.6282287681171717,,
differential_evolution,22.0,1.8125555912211027,2.1399603843011157,2.4805053660546346,,
differential_evolution,23.0,1.8125555912211027,2.093860063123566,2.4599132725145973,,
differential_evolution,24.0,1.7824623556976722,2.0743905529288815,2.387486163962752,,
differential_evolution,25.0,1.7824623556976722,2.04925162330213,2.3518410310629663,,
differential_evolution,26.0,1.735544543013497,2.0304788307280623,2.3518410310629663,,
differential_evolution,27.0,1.735544543013497,2.0057577585358075,2.3342026840711543,,
differential_evolution,28.0,1.735544543013497,1.9807201566672434,2.3342026840711543,,
