timestamp,scope,raw_rows,root_bilateral_rows,direct_trade_rows,trade_context_rows,matched_rows,status
20170102021500,trade_context,0,0,0,0,0,download_failed
20170102023000,trade_context,0,0,0,0,0,download_failed
20170102024500,trade_context,0,0,0,0,0,download_failed
20170102030000,trade_context,0,0,0,0,0,download_failed
20170102031500,trade_context,0,0,0,0,0,download_failed
20170102033000,trade_context,0,0,0,0,0,download_failed
20170102034500,trade_context,0,0,0,0,0,download_failed
20170102040000,trade_context,0,0,0,0,0,download_failed
20170102041500,trade_context,0,0,0,0,0,download_failed
20170102043000,trade_context,0,0,0,0,0,download_failed
20170102044500,trade_context,0,0,0,0,0,download_failed
20170102050000,trade_context,0,0,0,0,0,download_failed
20170102051500,trade_context,0,0,0,0,0,download_failed
20170102053000,trade_context,0,0,0,0,0,download_failed
20170102054500,trade_context,0,0,0,0,0,download_failed
20170102060000,trade_context,0,0,0,0,0,download_failed
20170102061500,trade_context,0,0,0,0,0,download_failed
20170102063000,trade_context,0,0,0,0,0,download_failed
20170102064500,trade_context,0,0,0,0,0,download_failed
20170102070000,trade_context,0,0,0,0,0,download_failed
20170102071500,trade_context,0,0,0,0,0,download_failed
20170102073000,trade_context,0,0,0,0,0,download_failed
20170102074500,trade_context,0,0,0,0,0,download_failed
20170102080000,trade_context,0,0,0,0,0,download_failed
20170102081500,trade_context,0,0,0,0,0,download_failed
20170102083000,trade_context,0,0,0,0,0,download_failed
20170102084500,trade_context,0,0,0,0,0,download_failed
20170102090000,trade_context,0,0,0,0,0,download_failed
20170102091500,trade_context,0,0,0,0,0,download_failed
20170102093000,trade_context,0,0,0,0,0,download_failed
20170102094500,trade_context,0,0,0,0,0,download_failed
20170102100000,trade_context,0,0,0,0,0,download_failed
20170102101500,trade_context,0,0,0,0,0,download_failed
20170102103000,trade_context,0,0,0,0,0,download_failed
20170102104500,trade_context,0,0,0,0,0,download_failed
20170102110000,trade_context,0,0,0,0,0,download_failed
20170102111500,trade_context,0,0,0,0,0,download_failed
20170102113000,trade_context,0,0,0,0,0,download_failed
20170102114500,trade_context,0,0,0,0,0,download_failed
20170102120000,trade_context,0,0,0,0,0,download_failed
20170102121500,trade_context,0,0,0,0,0,download_failed
20170102123000,trade_context,0,0,0,0,0,download_failed
20170102124500,trade_context,0,0,0,0,0,download_failed
20170102130000,trade_context,0,0,0,0,0,download_failed
20170102131500,trade_context,0,0,0,0,0,download_failed
20170102133000,trade_context,0,0,0,0,0,download_failed
20170102134500,trade_context,0,0,0,0,0,download_failed
20170102140000,trade_context,0,0,0,0,0,download_failed
20170102141500,trade_context,0,0,0,0,0,download_failed
20170102143000,trade_context,0,0,0,0,0,download_failed
20170102144500,trade_context,0,0,0,0,0,download_failed
20170102150000,trade_context,0,0,0,0,0,download_failed
20170102151500,trade_context,0,0,0,0,0,download_failed
20170102153000,trade_context,0,0,0,0,0,download_failed
20170102154500,trade_context,0,0,0,0,0,download_failed
20170102160000,trade_context,0,0,0,0,0,download_failed
20170102161500,trade_context,0,0,0,0,0,download_failed
20170102163000,trade_context,0,0,0,0,0,download_failed
20170102164500,trade_context,0,0,0,0,0,download_failed
20170102170000,trade_context,0,0,0,0,0,download_failed
20170102171500,trade_context,0,0,0,0,0,download_failed
20170102173000,trade_context,0,0,0,0,0,download_failed
20170102174500,trade_context,0,0,0,0,0,download_failed
20170102180000,trade_context,0,0,0,0,0,download_failed
20170102181500,trade_context,0,0,0,0,0,download_failed
20170102183000,trade_context,0,0,0,0,0,download_failed
20170102184500,trade_context,0,0,0,0,0,download_failed
20170102190000,trade_context,0,0,0,0,0,download_failed
20170102191500,trade_context,0,0,0,0,0,download_failed
20170102193000,trade_context,0,0,0,0,0,download_failed
20170102194500,trade_context,0,0,0,0,0,download_failed
20170102200000,trade_context,0,0,0,0,0,download_failed
20170102201500,trade_context,0,0,0,0,0,download_failed
20170102203000,trade_context,0,0,0,0,0,download_failed
20170102204500,trade_context,0,0,0,0,0,download_failed
20170102210000,trade_context,0,0,0,0,0,download_failed
20170102211500,trade_context,0,0,0,0,0,download_failed
20170102213000,trade_context,0,0,0,0,0,download_failed
20170102214500,trade_context,0,0,0,0,0,download_failed
20170102220000,trade_context,0,0,0,0,0,download_failed
20170102221500,trade_context,0,0,0,0,0,download_failed
20170102223000,trade_context,0,0,0,0,0,download_failed
20170102224500,trade_context,0,0,0,0,0,download_failed
20170102230000,trade_context,0,0,0,0,0,download_failed
20170102231500,trade_context,0,0,0,0,0,download_failed
20170102233000,trade_context,0,0,0,0,0,download_failed
20170102234500,trade_context,0,0,0,0,0,download_failed
20170103000000,trade_context,0,0,0,0,0,download_failed
20170103001500,trade_context,0,0,0,0,0,download_failed
20170103003000,trade_context,0,0,0,0,0,download_failed
