seed_count,replicates,CN_mean_squared_distance_to_full,CN_sd_squared_distance_to_full,US_mean_squared_distance_to_full,US_sd_squared_distance_to_full,combined_mean_squared_distance_to_full,combined_sd_squared_distance_to_full,combined_p95_squared_distance_to_full,CN_mean_element_sd,US_mean_element_sd,CN_max_element_sd,US_max_element_sd,sample_mean_matrix_matches_full_reference,combined_relative_reduction_vs_10
10,100,60.1979392998,32.505502886328,66.616144051527,56.355582473385,126.814083351327,65.422417897961,225.556628608779,0.087792961201,0.08958627598,0.18458525719,0.180078546274,False,0.0
20,100,30.618766129068,16.065376849216,35.606289850985,31.700216044676,66.225055980053,36.009367787393,129.030203134525,0.062744719432,0.064912649446,0.124279743102,0.127464592033,False,0.47777838052432675
50,100,10.498525814705,6.057926923396,10.527904766974,7.110887554377,21.026430581679,10.184162905337,37.515866332357,0.036943095417,0.035466311912,0.074663149268,0.07697933607,False,0.8341948305266129
100,100,4.720400237469,2.835493962082,4.546677178899,2.811501957896,9.267077416367,3.934898914658,17.783871047804,0.02467259742,0.023444991763,0.052219815118,0.046760079667,False,0.9269239096205633
150,100,2.122212802961,1.047494497214,2.588196336983,2.229738384804,4.710409139945,2.434879140956,8.431786838228,0.01667341144,0.017640913417,0.03558653953,0.033586580079,False,0.9628557884466568
200,100,1.354542630423,0.604391526991,1.900392498682,1.747129497757,3.254935129105,1.828708143793,7.045920871652,0.013188797271,0.014973928392,0.02626862014,0.029348997195,False,0.9743330153632267
250,100,0.756693294379,0.409133023562,0.838799594508,0.60712861404,1.595492888888,0.721356088241,2.901180942655,0.009899087275,0.010069294672,0.020722934155,0.019285164655,False,0.9874186458891334
300,100,0.406975126358,0.269823071449,0.442954255683,0.371118591214,0.84992938204,0.465227636194,1.836887759637,0.007210281937,0.007295021359,0.014696174785,0.01408583595,False,0.9932978312851471
320,100,0.270871829652,0.174224391687,0.313708608925,0.24664077096,0.584580438577,0.306304407834,1.299958419607,0.005894751194,0.006130452405,0.012190737073,0.011958727623,False,0.9953902561677044
340,100,0.13241005917,0.05682296018,0.162612648033,0.110297179931,0.295022707203,0.115811372484,0.518470599665,0.004145421124,0.004427418643,0.009134498448,0.008551970905,False,0.997673580887813
350,100,0.083774825268,0.040311885424,0.118313897443,0.092089190209,0.202088722711,0.097323959216,0.383350998028,0.003302087256,0.003743234075,0.006825504211,0.007417852184,False,0.9984064173523131
360,100,0.043098303112,0.028058549795,0.041754774954,0.025201461786,0.084853078066,0.033486101461,0.141905389117,0.002337660386,0.002249291033,0.004738698397,0.00440144746,False,0.9993308860039549
369,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
