seed_count,replicates,CN_mean,CN_p05,CN_p95,US_mean,US_p05,US_p95,combined_mean,combined_p05,combined_p95
10,100,54.44568799999999,27.206128,102.96520799999998,62.39360000000001,22.802864000000003,145.454904,116.839288,60.681552,208.84179199999994
20,100,26.621895999999996,11.418438,51.29265799999998,34.447115999999994,10.464284000000001,87.208364,61.069012000000015,27.659132000000003,126.874432
30,100,18.955364444444445,9.355079111111111,39.082754666666666,20.493919111111108,7.598788444444443,41.93604622222222,39.44928355555556,20.74920977777778,68.53531644444442
40,100,14.535220499999998,6.0747305,24.880877999999974,16.7983715,5.190211499999999,39.75553649999997,31.333592000000003,13.889172,64.95408699999999
50,100,10.461065599999998,4.695664,22.638064,11.836305600000001,3.70056,32.000623999999995,22.297371199999994,11.121992,46.54131199999999
60,100,8.463106222222223,3.8173457777777773,17.358485777777773,9.353895555555557,3.263452888888889,18.76085733333333,17.817001777777776,9.897695333333333,29.558744222222213
70,100,7.598848979591838,3.053045551020408,16.119451265306118,8.812660571428571,2.7755415510204084,21.95610563265306,16.411509551020412,7.473786285714287,30.610356081632652
80,100,5.751426374999999,2.44471925,12.293152999999997,7.627189375,2.3091315000000003,20.317813375000004,13.37861575,6.3451376250000004,26.870952
90,100,4.933271604938272,2.4076114567901232,10.883955160493828,6.189106765432098,1.8191504197530863,15.449160296296295,11.12237837037037,5.174392987654321,19.309008296296295
100,100,4.5832476,2.049476,8.561183999999999,5.7724367999999995,2.180216,13.697767999999995,10.355684399999998,5.323928,20.152649999999998
110,100,4.247368727272726,1.8281775867768593,7.348166677685949,4.858672264462809,1.5159608595041325,13.77003821487603,9.106040991735538,4.310566214876034,17.92141018181818
120,100,3.803922222222222,1.9256585555555557,6.98140661111111,5.120216666666667,1.3728106666666666,13.249232888888887,8.924138888888887,3.837090611111111,18.97643033333333
130,100,3.2007887810650884,1.5101999526627221,6.27504752662722,4.299041467455621,1.1499468402366864,10.860597964497037,7.499830248520709,3.248114840236686,14.941911999999995
140,100,3.0556835510204086,1.514039224489796,6.225162081632654,4.095920448979592,1.135781959183674,11.05343502040816,7.151604,3.497396897959184,13.68518710204082
150,100,3.0052232888888892,1.221926222222222,7.565360888888887,3.3591912888888884,1.1034124444444444,9.575037333333333,6.364414577777777,2.855945777777778,14.519049777777775
160,100,2.363292125,1.13947878125,4.226386281249999,3.5288590625,1.10909275,7.099044937499994,5.8921511875,2.5428241875000004,11.54011059375
