GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
827464080,20190301,201903,CHN,CHINESE,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,042,042,04,1,1.9,8,1,8,-0.719424460431655,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,20190301000000,Consult,Verbal cooperation
827464081,20190301,201903,CHN,CHINA,CHN,,,,,,,,USA,INDIANA,USA,,,,,,,,1,042,042,04,1,1.9,10,1,10,-0.55710306406685,2,"North Dakota, United States",US,USND,,47.5362,-99.793,ND,2,"North Dakota, United States",US,USND,,47.5362,-99.793,ND,2,"North Dakota, United States",US,USND,,47.5362,-99.793,ND,20190301000000,Consult,Verbal cooperation
827466865,20190301,201903,USA,THE US,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,043,043,04,1,2.8,10,1,10,-0.719424460431655,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,4,"Hainan, Hainan, China",CH,CH31,13072,18.9394,109.484,6025157,20190301000000,Consult,Verbal cooperation
827466867,20190301,201903,USA,INDIANA,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,043,043,04,1,2.8,6,1,6,-0.55710306406685,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190301000000,Consult,Verbal cooperation
827471294,20190301,201903,USA,UNITED STATES,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,012,012,01,1,-0.4,10,1,10,-3.84615384615384,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190301001500,Make public statement,Verbal cooperation
827471295,20190301,201903,USA,UNITED STATES,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,012,012,01,1,-0.4,6,1,6,-3.43053173241852,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190301001500,Make public statement,Verbal cooperation
827473744,20190301,201903,CHN,CHINESE,CHN,,,,,,,,USA,FLORIDA,USA,,,,,,,,1,046,046,04,1,7.0,6,1,6,-1.19225037257824,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20190301003000,Consult,Verbal cooperation
827476203,20190301,201903,USA,NEW YORK,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,012,012,01,1,-0.4,8,1,8,-1.67910447761194,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190301003000,Make public statement,Verbal cooperation
827478629,20190301,201903,CHN,CHINA,CHN,,,,,,,,USA,LOS ANGELES,USA,,,,,,,,1,043,043,04,1,2.8,6,1,6,-1.96078431372549,4,"Li Gaoyang, Jiangxi, China",CH,CH03,13165,28.2441,118.288,10550890,3,"Los Angeles International Airport, California, United States",US,USCA,,33.9425,-118.409,1653694,4,"Li Gaoyang, Jiangxi, China",CH,CH03,13165,28.2441,118.288,10550890,20190301004500,Consult,Verbal cooperation
827480786,20190301,201903,USA,LOS ANGELES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,042,042,04,1,1.9,6,1,6,-1.96078431372549,3,"Irvine, California, United States",US,USCA,CA059,33.6695,-117.823,1660804,3,"Irvine, California, United States",US,USCA,CA059,33.6695,-117.823,1660804,3,"Irvine, California, United States",US,USCA,CA059,33.6695,-117.823,1660804,20190301004500,Consult,Verbal cooperation
827486776,20190301,201903,CHN,CHINESE,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,016,016,01,1,-2.0,8,1,8,-5.3475935828877,1,China,CH,CH,,35.0,105.0,CH,2,"Washington, United States",US,USWA,,47.3917,-121.571,WA,1,China,CH,CH,,35.0,105.0,CH,20190301011500,Make public statement,Verbal cooperation
827486777,20190301,201903,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,172,172,17,4,-5.0,10,1,10,-4.65288035450517,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20190301011500,Coerce,Material conflict
827487967,20190301,201903,MNCUSA,MORGAN STANLEY,USA,,,,,MNC,,,CHN,ANHUI,CHN,,,,,,,,1,020,020,02,1,3.0,8,1,8,2.47252747252748,1,Taiwan,TW,TW,,24.0,121.0,TW,5,"Anhui, Anhui, China",CH,CH01,12996,32.0,117.0,-1896677,5,"Anhui, Anhui, China",CH,CH01,12996,32.0,117.0,-1896677,20190301011500,Appeal,Verbal cooperation
827490407,20190301,201903,CHN,CHINA,CHN,,,,,,,,USA,INDIANA,USA,,,,,,,,1,042,042,04,1,1.9,8,1,8,-5.0,1,China,CH,CH,,35.0,105.0,CH,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,1,China,CH,CH,,35.0,105.0,CH,20190301013000,Consult,Verbal cooperation
827492017,20190301,201903,USA,VIRGINIA,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,163,163,16,4,-8.0,6,2,6,-1.71626984126984,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,4,"Shuanghui, Sichuan, China",CH,CH32,13261,32.3599,106.289,219848,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20190301013000,Reduce relations,Material conflict
827492018,20190301,201903,USA,VIRGINIA,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,163,163,16,4,-8.0,6,2,6,-1.71626984126984,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20190301013000,Reduce relations,Material conflict
827492019,20190301,201903,USA,VIRGINIA,USA,,,,,,,,CHNBUS,CHINESE,CHN,,,,,BUS,,,1,163,163,16,4,-8.0,6,1,6,-1.45833333333333,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20190301013000,Reduce relations,Material conflict
827492020,20190301,201903,USA,VIRGINIA,USA,,,,,,,,CHNBUS,CHINESE,CHN,,,,,BUS,,,1,163,163,16,4,-8.0,12,2,12,-1.84523809523809,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,4,"Shuanghui, Sichuan, China",CH,CH32,13261,32.3599,106.289,219848,2,"Virginia, United States",US,USVA,,37.768,-78.2057,VA,20190301013000,Reduce relations,Material conflict
827493911,20190301,201903,CHN,CANTON,CHN,,,,,,,,USA,OHIO,USA,,,,,,,,1,031,031,03,1,5.2,8,1,8,-1.34907251264756,3,"Columbus, Ohio, United States",US,USOH,OH049,39.9612,-82.9988,1080996,4,"Dublin, Dublin, Ireland",EI,EI07,18288,53.3331,-6.24889,-1502554,2,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20190301014500,Express intent to cooperate,Verbal cooperation
827493915,20190301,201903,CHN,BEIJING,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,055,055,05,1,7.0,10,1,10,0.72992700729927,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190301014500,Engage in diplomatic cooperation,Verbal cooperation
827493916,20190301,201903,CHN,BEIJING,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,110,110,11,3,-2.0,10,1,10,0.72992700729927,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,United States,US,US,,39.828175,-98.5795,US,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190301014500,Disapprove,Verbal conflict
827494741,20190301,201903,MNCUSAMEDELI,GOOGLE,USA,,,,,MNC,MED,ELI,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,010,010,01,1,0.0,6,1,6,-0.89730807577268,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190301014500,Make public statement,Verbal cooperation
827495181,20190301,201903,USA,UNITED STATES,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,051,051,05,1,3.4,8,1,8,0.72992700729927,1,United States,US,US,,39.828175,-98.5795,US,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,United States,US,US,,39.828175,-98.5795,US,20190301014500,Engage in diplomatic cooperation,Verbal cooperation
827496894,20190301,201903,CHN,CHINESE,CHN,,,,,,,,USA,INDIANAPOLIS,USA,,,,,,,,1,042,042,04,1,1.9,6,1,6,-1.98675496688741,1,China,CH,CH,,35.0,105.0,CH,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20190301020000,Consult,Verbal cooperation
827498445,20190301,201903,USA,INDIANAPOLIS,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,043,043,04,1,2.8,6,1,6,-1.98675496688741,1,United States,US,US,,39.828175,-98.5795,US,1,China,CH,CH,,35.0,105.0,CH,1,United States,US,US,,39.828175,-98.5795,US,20190301020000,Consult,Verbal cooperation
827501676,20190301,201903,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,061,061,06,2,6.4,8,1,8,-1.74013921113689,2,"California, United States",US,USCA,,36.17,-119.746,CA,3,"Los Angeles, California, United States",US,USCA,,34.0522,-118.244,1662328,3,"Los Angeles, California, United States",US,USCA,,34.0522,-118.244,1662328,20190301021500,Engage in material cooperation,Material cooperation
827504538,20190301,201903,USA,WASHINGTON,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,010,010,01,1,0.0,6,1,6,-0.95693779904306,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20190301023000,Make public statement,Verbal cooperation
827512111,20190301,201903,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,110,110,11,3,-2.0,14,2,14,-3.49886512139762,1,China,CH,CH,,35.0,105.0,CH,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20190301031500,Disapprove,Verbal conflict
