GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
669472811,20170701,201707,CHNMED,CHINESE,CHN,,,,,MED,,,USA,WASHINGTON,USA,,,,,,,,1,130,130,13,3,-4.4,6,1,6,-2.17706821480406,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,4,"Hyderabad, Andhra Pradesh, India",IN,IN02,17564,17.3753,78.4744,-2097701,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,20170701000000,Threaten,Verbal conflict
669486488,20170701,201707,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,051,051,05,1,3.4,6,1,6,0.74349442379182,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20170701003000,Engage in diplomatic cooperation,Verbal cooperation
669486490,20170701,201707,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,172,172,17,4,-5.0,8,1,8,0.74349442379182,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20170701003000,Coerce,Material conflict
669487529,20170701,201707,CHNGOV,CHINESE,CHN,,,,,GOV,,,USA,THE US,USA,,,,,,,,1,026,026,02,1,4.0,6,1,6,-2.54668930390493,4,"Dandong, Liaoning, China",CH,CH19,13182,40.1292,124.395,-1902084,4,"Pyongyang, P'yongyang-si, North Korea",KN,KN12,39681,39.0194,125.755,-183459,4,"Pyongyang, P'yongyang-si, North Korea",KN,KN12,39681,39.0194,125.755,-183459,20170701010000,Appeal,Verbal cooperation
669489834,20170701,201707,USAMED,REUTERS,USA,,,,,MED,,,CHN,CHINA,CHN,,,,,,,,1,017,017,01,1,0.0,20,2,20,-4.3956043956044,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,1,Hong Kong,HK,HK,,22.25,114.167,HK,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20170701010000,Make public statement,Verbal cooperation
669492331,20170701,201707,CHN,CHINA,CHN,,,,,,,,USA,WASHINGTON,USA,,,,,,,,1,112,112,11,3,-2.0,8,1,8,-3.67647058823529,4,"Dandong, Liaoning, China",CH,CH19,13182,40.1292,124.395,-1902084,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,4,"Dandong, Liaoning, China",CH,CH19,13182,40.1292,124.395,-1902084,20170701011500,Disapprove,Verbal conflict
669492369,20170701,201707,CHNGOV,CHINESE,CHN,,,,,GOV,,,USABUS,CHICAGO,USA,,,,,BUS,,,1,051,051,05,1,3.4,6,1,6,4.12004069175991,3,"Chicago, Illinois, United States",US,USIL,IL031,41.85,-87.6501,423587,4,"Wang Yang, Anhui, China",CH,CH01,12998,31.0781,118.037,10555137,4,"Wang Yang, Anhui, China",CH,CH01,12998,31.0781,118.037,10555137,20170701011500,Engage in diplomatic cooperation,Verbal cooperation
669494217,20170701,201707,USA,AMERICAN,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,051,051,05,1,3.4,6,1,6,-5.33333333333333,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20170701011500,Engage in diplomatic cooperation,Verbal cooperation
669496191,20170701,201707,CHN,CHINA,CHN,,,,,,,,USA,NEBRASKA,USA,,,,,,,,1,043,043,04,1,2.8,12,1,6,1.82440136830102,1,China,CH,CH,,35.0,105.0,CH,2,"Nebraska, United States",US,USNE,,41.1289,-98.2883,NE,1,China,CH,CH,,35.0,105.0,CH,20170701013000,Consult,Verbal cooperation
669497701,20170701,201707,USA,NEBRASKA,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,042,042,04,1,1.9,8,1,8,1.82440136830102,1,Mexico,MX,MX,,23.0,-102.0,MX,1,Mexico,MX,MX,,23.0,-102.0,MX,1,Mexico,MX,MX,,23.0,-102.0,MX,20170701013000,Consult,Verbal cooperation
