GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
711401956,20171201,201712,CHNGOV,CHINESE,CHN,,,,,GOV,,,USAGOVSPY,OBAMA,USA,,,,,GOV,SPY,,1,040,040,04,1,1.0,6,1,6,0.952380952380952,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20171201000000,Consult,Verbal cooperation
711404045,20171201,201712,MNCUSA,DISNEY,USA,,,,,MNC,,,CHN,CHINESE,CHN,,,,,,,,1,020,020,02,1,3.0,8,1,8,0.24390243902439,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20171201000000,Appeal,Verbal cooperation
711405610,20171201,201712,USAGOV,OBAMA,USA,,,,,GOV,,,CHN,CHINA,CHN,,,,,,,,1,036,036,03,1,4.0,8,1,8,0.952380952380952,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20171201000000,Express intent to cooperate,Verbal cooperation
711405696,20171201,201712,USAGOVSPY,OBAMA,USA,,,,,GOV,SPY,,CHNGOV,CHINESE,CHN,,,,,GOV,,,1,040,040,04,1,1.0,6,1,6,0.952380952380952,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20171201000000,Consult,Verbal cooperation
711407034,20171201,201712,CHN,CHINA,CHN,,,,,,,,MNCUSA,UQM TECHNOLOGIES,USA,,,,,MNC,,,1,057,057,05,1,8.0,6,1,6,1.23119015047879,4,"Qingdao, Shandong, China",CH,CH25,13226,36.0986,120.372,-1922199,4,"Qingdao, Shandong, China",CH,CH25,13226,36.0986,120.372,-1922199,4,"Qingdao, Shandong, China",CH,CH25,13226,36.0986,120.372,-1922199,20171201001500,Engage in diplomatic cooperation,Verbal cooperation
711408913,20171201,201712,MNCUSA,UQM TECHNOLOGIES,USA,,,,,MNC,,,CHN,CHINA,CHN,,,,,,,,1,030,030,03,1,4.0,10,1,10,1.23119015047879,1,Hong Kong,HK,HK,,22.25,114.166667,HK,1,Hong Kong,HK,HK,,22.25,114.166667,HK,1,Hong Kong,HK,HK,,22.25,114.166667,HK,20171201001500,Express intent to cooperate,Verbal cooperation
711408914,20171201,201712,MNCUSA,UQM TECHNOLOGIES,USA,,,,,MNC,,,CHN,CHINA,CHN,,,,,,,,1,057,057,05,1,8.0,6,1,6,1.23119015047879,4,"Qingdao, Shandong, China",CH,CH25,13226,36.0986,120.372,-1922199,4,"Qingdao, Shandong, China",CH,CH25,13226,36.0986,120.372,-1922199,4,"Qingdao, Shandong, China",CH,CH25,13226,36.0986,120.372,-1922199,20171201001500,Engage in diplomatic cooperation,Verbal cooperation
711423237,20171201,201712,CHN,CHINA,CHN,,,,,,,,MNCUSA,UQM TECHNOLOGIES,USA,,,,,MNC,,,1,057,057,05,1,8.0,10,1,10,0.0,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20171201010000,Engage in diplomatic cooperation,Verbal cooperation
711423248,20171201,201712,CHN,CHINA,CHN,,,,,,,,USAGOV,OBAMA,USA,,,,,GOV,,,1,040,040,04,1,1.0,11,1,7,3.75,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171201010000,Consult,Verbal cooperation
711423257,20171201,201712,CHNGOV,XI JINPING,CHN,,,,,GOV,,,USAGOV,BARACK OBAMA,USA,,,,,GOV,,,1,044,044,04,1,2.5,10,1,10,2.84552845528456,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171201010000,Consult,Verbal cooperation
