GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
719042361,20180101,201801,USACOP,DENVER,USA,,,,,COP,,,CHN,CANTON,CHN,,,,,,,,1,180,180,18,4,-9.0,6,1,6,-7.65027322404372,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180101020000,Assault,Material conflict
719042362,20180101,201801,USACOP,DENVER,USA,,,,,COP,,,CHN,CANTON,CHN,,,,,,,,1,193,193,19,4,-10.0,6,1,6,-7.65027322404372,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,CO031,39.7392,-104.985,201738,20180101020000,Fight,Material conflict
719048396,20180101,201801,CHN,CHINA,CHN,,,,,,,,USA,IOWA,USA,,,,,,,,1,043,043,04,1,2.8,6,1,6,2.09302325581395,4,"Minqing, Hunan, China",CH,CH11,13134,27.0483,111.951,9181051,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,20180101031500,Consult,Verbal cooperation
719053016,20180101,201801,USAMED,REUTERS,USA,,,,,MED,,,CHN,CHINA,CHN,,,,,,,,1,051,051,05,1,3.4,8,1,8,5.6140350877193,4,"Dubai, Dubayy, United Arab Emirates",AE,AE03,28575,25.2522,55.28,-782831,4,"Yongdingmen, Beijing, China",CH,CH22,13001,39.8711,116.393,-1936793,4,"Yongdingmen, Beijing, China",CH,CH22,13001,39.8711,116.393,-1936793,20180101040000,Engage in diplomatic cooperation,Verbal cooperation
719058468,20180101,201801,CHN,CHINESE,CHN,,,,,,,,USA,HOUSTON,USA,,,,,,,,1,036,036,03,1,4.0,10,1,10,-0.33670033670034,2,"Alaska, United States",US,USAK,,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,,61.385,-152.268,AK,20180101051500,Express intent to cooperate,Verbal cooperation
719066753,20180101,201801,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,061,061,06,2,6.4,8,1,8,3.25732899022801,1,China,CH,CH,,35.0,105.0,CH,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20180101070000,Engage in material cooperation,Material cooperation
719067369,20180101,201801,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,061,061,06,2,6.4,8,1,8,3.25732899022801,1,United States,US,US,,39.828175,-98.5795,US,1,China,CH,CH,,35.0,105.0,CH,1,United States,US,US,,39.828175,-98.5795,US,20180101070000,Engage in material cooperation,Material cooperation
719070449,20180101,201801,USA,UNITED STATES,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,130,130,13,3,-4.4,6,1,6,-1.04384133611691,1,United States,US,US,,39.828175,-98.5795,US,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180101073000,Threaten,Verbal conflict
719076736,20180101,201801,CHN,SHANGHAI,CHN,,,,,,,,USAMED,THE ASSOCIATED PRESS,USA,,,,,MED,,,1,190,190,19,4,-10.0,7,1,7,-6.19469026548673,4,"Qidong, Guangdong, China",CH,CH30,13041,23.8204,114.502,10849220,4,"Qidong, Guangdong, China",CH,CH30,13041,23.8204,114.502,10849220,4,"Qidong, Guangdong, China",CH,CH30,13041,23.8204,114.502,10849220,20180101090000,Fight,Material conflict
719108861,20180101,201801,MNCUSA,MORGAN STANLEY,USA,,,,,MNC,,,CHN,CHINA,CHN,,,,,,,,1,010,010,01,1,0.0,10,1,10,-0.57803468208092,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,4,"Shanghai, Shanghai, China",CH,CH23,13243,31.2222,121.458,-1924465,20180101134500,Make public statement,Verbal cooperation
719109125,20180101,201801,USAMIL,THE US,USA,,,,,MIL,,,CHN,CHINA,CHN,,,,,,,,1,154,154,15,4,-7.2,6,1,6,-8.13559322033898,1,United States,US,US,,39.828175,-98.5795,US,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180101134500,Exhibit force posture,Material conflict
