GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
677558954,20170801,201708,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,057,057,05,1,8.0,6,2,6,-3.46153846153846,1,China,CH,CH,,35.0,105.0,CH,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,Germany,GM,GM,,51.0,9.0,GM,20170801000000,Engage in diplomatic cooperation,Verbal cooperation
677561953,20170801,201708,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,057,057,05,1,8.0,6,2,6,-3.46153846153846,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,China,CH,CH,,35.0,105.0,CH,1,Germany,GM,GM,,51.0,9.0,GM,20170801000000,Engage in diplomatic cooperation,Verbal cooperation
677568145,20170801,201708,USA,SAN ANTONIO,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,010,010,01,1,0.0,7,1,7,0.44280442804428,4,"Taco, Cao B?ng, Vietnam, Republic Of",VM,VM05,73984,22.934,105.415,-3728818,4,"Taco, Cao B?ng, Vietnam, Republic Of",VM,VM05,73984,22.934,105.415,-3728818,4,"Taco, Cao B?ng, Vietnam, Republic Of",VM,VM05,73984,22.934,105.415,-3728818,20170801001500,Make public statement,Verbal cooperation
677570971,20170801,201708,CHN,CANTON,CHN,,,,,,,,USAJUD,MISSISSIPPI,USA,,,,,JUD,,,1,016,016,01,1,-2.0,30,3,30,-13.6510762259265,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20170801003000,Make public statement,Verbal cooperation
677570973,20170801,201708,CHN,CANTON,CHN,,,,,,,,USAJUD,MISSISSIPPI,USA,,,,,JUD,,,1,173,173,17,4,-5.0,26,3,26,-13.816649445392,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20170801003000,Coerce,Material conflict
677570974,20170801,201708,CHN,CANTON,CHN,,,,,,,,USAJUD,MISSISSIPPI,USA,,,,,JUD,,,1,190,190,19,4,-10.0,12,3,12,-13.6510762259265,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20170801003000,Fight,Material conflict
677570975,20170801,201708,CHN,CANTON,CHN,,,,,,,,USAJUD,MISSISSIPPI,USA,,,,,JUD,,,1,190,190,19,4,-10.0,18,3,18,-13.6510762259265,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20170801003000,Fight,Material conflict
677587670,20170801,201708,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,010,010,01,1,0.0,10,1,10,0.0,4,"Shuiyu, Shanxi, China",CH,CH24,13250,39.1062,113.218,10860581,4,"Shuiyu, Shanxi, China",CH,CH24,13250,39.1062,113.218,10860581,4,"Shuiyu, Shanxi, China",CH,CH24,13250,39.1062,113.218,10860581,20170801013000,Make public statement,Verbal cooperation
677587671,20170801,201708,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,030,030,03,1,4.0,10,1,10,0.0,4,"Shuiyu, Shanxi, China",CH,CH24,13250,39.1062,113.218,10860581,4,"Shuiyu, Shanxi, China",CH,CH24,13250,39.1062,113.218,10860581,4,"Shuiyu, Shanxi, China",CH,CH24,13250,39.1062,113.218,10860581,20170801013000,Express intent to cooperate,Verbal cooperation
677592795,20170801,201708,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,061,061,06,2,6.4,8,1,8,-3.18021201413428,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,South Korea,KS,KS,,37.0,127.5,KS,20170801014500,Engage in material cooperation,Material cooperation
