GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
702777277,20171101,201711,CHN,CHINESE,CHN,,,,,,,,USA,KANSAS,USA,,,,,,,,1,042,042,04,1,1.9,6,1,6,1.31868131868132,1,China,CH,CH,,35.0,105.0,CH,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,20171101000000,Consult,Verbal cooperation
702777285,20171101,201711,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,173,173,17,4,-5.0,12,3,12,-4.15854029796328,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,3,"Salt Lake City, Utah, United States",US,USUT,,40.7608,-111.891,1454997,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171101000000,Coerce,Material conflict
702780733,20171101,201711,USA,KANSAS,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,043,043,04,1,2.8,10,1,10,1.31868131868132,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,2,"Kansas, United States",US,USKS,,38.5111,-96.8005,KS,20171101000000,Consult,Verbal cooperation
702780737,20171101,201711,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,182,182,18,4,-9.5,9,3,9,-4.15854029796328,3,"Red Butte Canyon, Utah, United States",US,USUT,UT041,38.6844,-112.04,1444765,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,3,"Red Butte Canyon, Utah, United States",US,USUT,,38.6844,-112.04,1444765,20171101000000,Assault,Material conflict
702780740,20171101,201711,USA,SALT LAKE CITY,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,190,190,19,4,-10.0,6,1,6,-1.32978723404255,3,"Salt Lake City, Utah, United States",US,USUT,UT035,40.7608,-111.891,1454997,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171101000000,Fight,Material conflict
702781368,20171101,201711,USAEDU,UTAH,USA,,,,,EDU,,,CHN,CHINA,CHN,,,,,,,,1,193,193,19,4,-10.0,6,1,6,-5.625,3,"University Of Utah, Utah, United States",US,USUT,UT035,40.7649,-111.849,1446845,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20171101000000,Fight,Material conflict
702790725,20171101,201711,USA,AUSTIN,USA,,,,,,,,CHNEDU,CHINESE,CHN,,,,,EDU,,,1,190,190,19,4,-10.0,10,1,10,-4.9624060150376,3,"Salt Lake City, Utah, United States",US,USUT,UT035,40.7608,-111.891,1454997,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171101003000,Fight,Material conflict
702793148,20171025,201710,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,043,043,04,1,2.8,9,1,9,-0.47619047619047,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171101004500,Consult,Verbal cooperation
702793162,20171025,201710,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,042,042,04,1,1.9,9,1,9,-0.47619047619047,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20171101004500,Consult,Verbal cooperation
702794075,20171101,201711,CHN,CHINESE,CHN,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,190,190,19,4,-10.0,6,1,6,-2.90456431535269,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20171101004500,Fight,Material conflict
