GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
768549284,20180701,201807,CHN,CHINA,CHN,,,,,,,,USA,JERSEY,USA,,,,,,,,1,043,043,04,1,2.8,8,4,8,-4.61997019374069,3,"Journal Square, New Jersey, United States",US,USNJ,NJ017,40.7326,-74.0618,877494,1,Jersey,JE,JE,,49.216667,-2.116667,JE,1,Jersey,JE,JE,,49.216667,-2.116667,JE,20180701000000,Consult,Verbal cooperation
768549285,20180701,201807,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,043,043,04,1,2.8,16,4,16,-4.61997019374069,1,China,CH,CH,,35.0,105.0,CH,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,China,CH,CH,,35.0,105.0,CH,20180701000000,Consult,Verbal cooperation
768549286,20180701,201807,CHN,CHINA,CHN,,,,,,,,USA,JERSEY,USA,,,,,,,,1,043,043,04,1,2.8,8,4,8,-4.61997019374069,1,China,CH,CH,,35.0,105.0,CH,1,Jersey,JE,JE,,49.216667,-2.116667,JE,1,China,CH,CH,,35.0,105.0,CH,20180701000000,Consult,Verbal cooperation
768550870,20180701,201807,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,042,042,04,1,1.9,8,4,8,-4.61997019374069,3,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180701000000,Consult,Verbal cooperation
768550871,20180701,201807,USA,JERSEY,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,042,042,04,1,1.9,8,4,8,-4.61997019374069,3,"Journal Square, New Jersey, United States",US,USNJ,NJ017,40.7326,-74.0618,877494,3,"Journal Square, New Jersey, United States",US,USNJ,,40.7326,-74.0618,877494,3,"Journal Square, New Jersey, United States",US,USNJ,,40.7326,-74.0618,877494,20180701000000,Consult,Verbal cooperation
768550874,20180701,201807,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,042,042,04,1,1.9,8,4,8,-4.61997019374069,1,Jersey,JE,JE,,49.216667,-2.116667,JE,1,Jersey,JE,JE,,49.216667,-2.116667,JE,1,Jersey,JE,JE,,49.216667,-2.116667,JE,20180701000000,Consult,Verbal cooperation
768568485,20180701,201807,USA,UNITED STATES,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,120,120,12,3,-4.0,10,1,10,-3.96694214876033,2,"Washington, United States",US,USWA,,47.3917,-121.571,WA,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180701020000,Reject,Verbal conflict
768578933,20180701,201807,CHN,CHINA,CHN,,,,,,,,USA,INDIANA,USA,,,,,,,,1,010,010,01,1,0.0,8,1,8,1.71306209850107,1,China,CH,CH,,35.0,105.0,CH,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,2,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,20180701034500,Make public statement,Verbal cooperation
768578935,20180701,201807,CHN,CHINA,CHN,,,,,,,,USA,INDIANA,USA,,,,,,,,1,040,040,04,1,1.0,8,1,8,1.71306209850107,3,"Kokomo, Indiana, United States",US,USIN,IN067,40.4864,-86.1336,437425,3,"Kokomo, Indiana, United States",US,USIN,IN067,40.4864,-86.1336,437425,3,"Kokomo, Indiana, United States",US,USIN,IN067,40.4864,-86.1336,437425,20180701034500,Consult,Verbal cooperation
768583853,20180701,201807,USA,NEW YORK,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,112,112,11,3,-2.0,10,1,10,0.0,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180701043000,Disapprove,Verbal conflict
