GLOBALEVENTID,SQLDATE,MonthYear,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,SourceFileTimestamp,EventRootName,QuadClassName
727142995,20180201,201802,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,020,020,02,1,3.0,12,1,10,1.9036954087346,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180201003000,Appeal,Verbal cooperation
727146279,20180201,201802,CHN,CHINA,CHN,,,,,,,,USA,THE US,USA,,,,,,,,1,010,010,01,1,0.0,8,1,8,-7.30593607305936,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20180201004500,Make public statement,Verbal cooperation
727163846,20180201,201802,USA,PORTLAND,USA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,192,192,19,4,-9.5,10,1,10,4.16666666666666,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180201014500,Fight,Material conflict
727172706,20180201,201802,CHN,CHINA,CHN,,,,,,,,USAMED,REUTERS,USA,,,,,MED,,,1,100,100,10,3,-5.0,6,1,6,-3.56001969060612,1,Hong Kong,HK,HK,,22.25,114.166667,HK,1,Hong Kong,HK,HK,,22.25,114.166667,HK,1,Hong Kong,HK,HK,,22.25,114.166667,HK,20180201023000,Demand,Verbal conflict
727176064,20180201,201802,CHN,CANTON,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,0874,087,08,2,10.0,6,1,6,3.83104125736738,4,"Owen Sound, Ontario, Canada",CA,CA08,12652,44.5667,-80.85,-570814,4,"Owen Sound, Ontario, Canada",CA,CA08,12652,44.5667,-80.85,-570814,4,"Owen Sound, Ontario, Canada",CA,CA08,12652,44.5667,-80.85,-570814,20180201024500,Yield,Material cooperation
727180412,20180201,201802,CHN,CHINESE,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,051,051,05,1,3.4,10,1,10,5.96026490066225,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180201031500,Engage in diplomatic cooperation,Verbal cooperation
727180414,20180201,201802,CHN,WUHAN,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,051,051,05,1,3.4,8,1,8,6.3973063973064,4,"Hubei, Guangdong, China",CH,CH30,13047,23.2656,116.054,10073728,4,"Hubei, Guangdong, China",CH,CH30,13047,23.2656,116.054,10073728,4,"Hubei, Guangdong, China",CH,CH30,13047,23.2656,116.054,10073728,20180201031500,Engage in diplomatic cooperation,Verbal cooperation
727191002,20180201,201802,USA,WASHINGTON,USA,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,013,013,01,1,0.4,6,1,6,0.34110289937465,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180201041500,Make public statement,Verbal cooperation
727195830,20180201,201802,USA,LAWRENCE,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,010,010,01,1,0.0,10,1,10,-2.64385692068429,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180201044500,Make public statement,Verbal cooperation
727195831,20180201,201802,USA,LAWRENCE,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,0841,084,08,2,7.0,10,1,10,-2.64385692068429,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180201044500,Yield,Material cooperation
727197332,20180201,201802,CHN,CHINESE,CHN,,,,,,,,USA,MASSACHUSETTS,USA,,,,,,,,1,173,173,17,4,-5.0,8,1,8,-8.84057971014489,1,China,CH,CH,,35.0,105.0,CH,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,20180201051500,Coerce,Material conflict
727212775,20180201,201802,CHN,CHINA,CHN,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,070,070,07,2,7.0,6,1,6,-1.73796791443851,4,"Jiming, Jiangsu, China",CH,CH04,13327,31.9722,121.655,11069351,4,"Jiming, Jiangsu, China",CH,CH04,13327,31.9722,121.655,11069351,4,"Jiming, Jiangsu, China",CH,CH04,13327,31.9722,121.655,11069351,20180201064500,Provide aid,Material cooperation
727224390,20180201,201802,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES OF AMERICA,USA,,,,,,,,1,061,061,06,2,6.4,8,1,8,1.68855534709194,4,"Huajian, Hebei, China",CH,CH10,13082,40.3411,118.547,39900,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20180201074500,Engage in material cooperation,Material cooperation
727250262,20180201,201802,CHN,CHINA,CHN,,,,,,,,USA,UNITED STATES,USA,,,,,,,,1,020,020,02,1,3.0,6,1,6,1.46804835924007,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20180201094500,Appeal,Verbal cooperation
727257469,20180201,201802,CHN,CHINESE,CHN,,,,,,,,USA,AMERICAN,USA,,,,,,,,1,020,020,02,1,3.0,8,1,8,0.717703349282298,4,"Haiyang Shan, Guangxi, China",CH,CH16,13051,25.3,110.8,-1908236,4,"Haiyang Shan, Guangxi, China",CH,CH16,13051,25.3,110.8,-1908236,4,"Haiyang Shan, Guangxi, China",CH,CH16,13051,25.3,110.8,-1908236,20180201101500,Appeal,Verbal cooperation
727258665,20180201,201802,USA,A US,USA,,,,,,,,CHN,SHANGHAI,CHN,,,,,,,,1,070,070,07,2,7.0,10,1,10,1.26582278481013,5,"Tibet, Xizang, China",CH,CH14,13213,32.0,90.0,-1934604,5,"Tibet, Xizang, China",CH,CH14,13213,32.0,90.0,-1934604,5,"Tibet, Xizang, China",CH,CH14,13213,32.0,90.0,-1934604,20180201101500,Provide aid,Material cooperation
727258666,20180201,201802,USA,A US,USA,,,,,,,,CHN,SHANGHAI,CHN,,,,,,,,1,071,071,07,2,7.4,10,1,10,1.26582278481013,5,"Tibet, Xizang, China",CH,CH14,13213,32.0,90.0,-1934604,5,"Tibet, Xizang, China",CH,CH14,13213,32.0,90.0,-1934604,5,"Tibet, Xizang, China",CH,CH14,13213,32.0,90.0,-1934604,20180201101500,Provide aid,Material cooperation
727318584,20180201,201802,USA,THE US,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,061,061,06,2,6.4,10,1,10,-5.21739130434783,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20180201150000,Engage in material cooperation,Material cooperation
727325125,20180201,201802,CHNCOP,CANTON,CHN,,,,,COP,,,USA,MISSISSIPPI,USA,,,,,,,,1,084,084,08,2,7.0,6,1,6,-12.5,1,China,CH,CH,,35.0,105.0,CH,2,"Mississippi, United States",US,USMS,,32.7673,-89.6812,MS,1,China,CH,CH,,35.0,105.0,CH,20180201153000,Yield,Material cooperation
727362307,20180201,201802,USA,BOSTON,USA,,,,,,,,CHN,CANTON,CHN,,,,,,,,1,173,173,17,4,-5.0,6,1,6,-9.80036297640652,3,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20180201180000,Coerce,Material conflict
