month,country,domain,event_count,effective_event_count,weighted_mass,cooperation_mass,conflict_mass,source_diversity,mean_signed_intensity,volume_adjusted_shock,mean_tone,material_share,third_geo_share,retrospective_share,scope,data_status,weekly_variation,weekly_peak,weekly_recent,shock_z_past,net_surprise,cooperation_stock,conflict_stock
201701,CN,diplomacy,224,107.35000000000001,84.0028294572021,30.488773658778978,3.1612218806753924,58.59036669657886,0.32531703937456624,1.5242296323313225,-0.01871476927966754,0.18336256796522996,0.24119512264926565,0.0006278345077237199,trade_context,observed,0.7461340875912181,1.2173124063189809,0.7653938593654703,0.0,1.5242296323313225,30.488773658778978,3.1612218806753924
201701,CN,economy,125,77.05,81.26435846443955,46.16994782542224,4.546561291316368,58.20738498064681,0.5121973189798802,2.2318228070315773,-0.09607107879742459,0.8726023252163007,0.17302514633014185,0.003994526914693829,trade_context,observed,3.4225751406293465,1.9427453778443842,0.9100492087548843,0.0,2.2318228070315773,46.16994782542224,4.546561291316368
201701,CN,law,67,31.0,24.309337330444787,0.7186382098452457,7.531138317449835,16.765230454489355,-0.2802421149947464,-0.9712451594138222,-0.17392938678696526,0.7570562216621781,0.18925129918242822,0.0,trade_context,observed,0.33225472911591686,0.6005152508082621,-0.6005152508082621,0.0,-0.9712451594138222,0.7186382098452457,7.531138317449835
201701,CN,politics,242,44.7,37.54983755363253,7.185947951593282,7.932411402450862,25.937619114314643,-0.01987927244136288,-0.0759805333616266,-0.16855086895460963,0.4898433327148618,0.19174671572587787,0.00029063485767769857,trade_context,observed,1.94258134033336,0.32964581605428717,-0.32964581605428717,0.0,-0.0759805333616266,7.185947951593282,7.932411402450862
201701,CN,security,68,14.75,13.519969467189366,1.9325940155427965,5.465123139639717,9.388602569917664,-0.26128233001337464,-0.7203136741130975,-0.2844935233053481,0.9327452892654865,0.0738302064496346,0.0,trade_context,observed,1.0711592826178804,0.5883535095422607,-0.5239629884451625,0.0,-0.7203136741130975,1.9325940155427965,5.465123139639717
201701,CN,society_humanitarian,20,4.15,3.3760469909423927,1.8207951455601301,0.11458956277881722,2.426093327788572,0.505385614406108,0.8283253616559432,0.010264936078333418,0.5572741135308122,0.1864304776909984,0.00888613223704738,trade_context,observed,0.9384673603833563,0.49775300315345583,0.397323694085141,0.0,0.8283253616559432,1.8207951455601301,0.11458956277881722
201701,US,diplomacy,244,108.35000000000001,85.73511613856404,33.320420537290076,3.475667169488242,61.560828207115236,0.34810419244743435,1.6341938410432513,-0.0033705736331798427,0.21704922882289263,0.17111604306003303,0.0062755053318738095,trade_context,observed,1.5029387437278072,1.3732328077537643,0.38833153377500046,0.0,1.6341938410432513,33.320420537290076,3.475667169488242
201701,US,economy,161,98.5,101.61567306120787,60.272025532028245,5.039612065331332,71.28973522795637,0.5435422686560157,2.5003801220845108,-0.042442778187567386,0.9289549058165613,0.1277823701467224,0.007286781105691536,trade_context,observed,2.840722094285899,2.0941202763159237,1.1941582959183044,0.0,2.5003801220845108,60.272025532028245,5.039612065331332
201701,US,law,68,27.05,21.419787381102648,0.42393286322492485,7.835284871446762,15.151582459342718,-0.34600492882391604,-1.1535764993040771,-0.20451523786614423,0.8712870546639141,0.0975948799048222,0.002547478996651669,trade_context,observed,1.4350431037486113,1.0324034245496978,-0.38609334121987676,0.0,-1.1535764993040771,0.42393286322492485,7.835284871446762
201701,US,politics,250,48.050000000000004,40.16831118249716,7.524989504697204,9.244602087268632,29.088579740199137,-0.04281017876899758,-0.16665318428228462,-0.13031349572008133,0.5019489051109692,0.12127594720067347,0.008712304474454946,trade_context,observed,1.2651681928582068,0.43258427368525604,-0.07955719476431869,0.0,-0.16665318428228462,7.524989504697204,9.244602087268632
201701,US,security,73,16.15,14.147067905078949,1.276575939835027,6.413161821562029,10.763960806398265,-0.3630848396424896,-1.0318864511301427,-0.22402699544268784,0.9672205313506317,0.05922368257114835,0.014651027425574814,trade_context,observed,2.78724999538036,1.0423256232655391,-0.5004969723409174,0.0,-1.0318864511301427,1.276575939835027,6.413161821562029
201701,US,society_humanitarian,36,6.8999999999999995,6.159862479242183,3.9942266246548566,0.15628992980489592,4.096499837109277,0.6230555808320777,1.2877703771036257,0.03657589368856144,0.8751692005857596,0.04814111639419248,0.0,trade_context,observed,1.6834090123715306,0.8984966113862917,0.11358421040105281,0.0,1.2877703771036257,3.9942266246548566,0.15628992980489592
201702,CN,diplomacy,148,63.75,49.86903857613315,19.943965188969383,2.5944076963712823,33.879392338453464,0.3479023856878892,1.4509386240234003,0.062482795894842215,0.16626121834299207,0.13697371840997088,0.0016957707804412367,trade_context,observed,2.3590263836040544,1.3778885473526044,1.2733091129781193,0.0,0.9936697343240035,41.28610675011467,4.807263012844057
201702,CN,economy,76,48.35,48.12805141129977,29.221949994854917,1.36517341071226,34.8772313052359,0.5788054111328989,2.256726276561465,-0.07054427523222176,0.8745850122952602,0.2453856975245381,0.010353879450287592,trade_context,observed,1.7444479517288718,1.5542800331671343,1.4947808340433943,0.0,1.5871794344519916,61.54091347265049,4.5477663146337175
201702,CN,law,26,13.2,8.03008850264525,0.764603306866331,1.8215911867168306,5.728861447327947,-0.13162842221506144,-0.3492420535560376,-0.10808838698872136,0.7619567621781324,0.1826518436053525,0.0,trade_context,observed,0.8331474890457523,0.4208963662091884,-0.008645243372624581,0.0,-0.057868505731890896,1.267650053758003,7.093388008931715
