month,target_country,domain,event_count,effective_event_count,weighted_mass,cooperation_mass,conflict_mass,source_diversity,mean_signed_intensity,volume_adjusted_shock,mean_tone,material_share,third_geo_share,retrospective_share,scope,data_status,weekly_variation,weekly_peak,weekly_recent,shock_z_past,net_surprise,cooperation_stock,conflict_stock
201701,CN,diplomacy,1185,732.8000000000001,750.3674000589116,198.14187338044735,37.03519433548874,532.7485950813202,0.21470372917628094,1.4166659850965742,-0.0247991245987911,0.05380373985201364,0.233835741100806,0.0010742824528163816,all_bilateral,observed,0.6708046693493448,1.1787888637936697,1.049179466712634,0.0,1.4166659850965742,198.14187338044735,37.03519433548874
201701,CN,economy,174,91.85000000000001,97.34392937595827,53.02208304573752,6.842908439027072,70.38043056713668,0.4743919307834686,2.1494628590303226,-0.09273124965727231,0.8546597287362245,0.20411638042527314,0.0033346986213986037,all_bilateral,observed,2.8922412960081605,1.9191701704536928,1.254318089083767,0.0,2.1494628590303226,53.02208304573752,6.842908439027072
201701,CN,law,161,67.1,71.29469642353803,11.36514851932283,14.820749483569026,50.10400967769428,-0.048469257007809144,-0.20458762936853833,-0.11552462032878512,0.5049202652976255,0.15442083717139943,0.0011179789340676537,all_bilateral,observed,1.4053901597757317,0.42282380366551037,-0.3665607006098257,0.0,-0.20458762936853833,11.36514851932283,14.820749483569026
201701,CN,politics,1020,255.05,262.72886772996327,39.18912694810126,32.46501418451052,186.73551194350836,0.02559335341292562,0.14192468428769672,-0.1150702267283048,0.13511305401940674,0.20464192771044154,0.0013327083209679275,all_bilateral,observed,1.1031112923538502,0.3892869635844573,-0.09648747227454346,0.0,0.14192468428769672,39.18912694810126,32.46501418451052
201701,CN,security,247,120.0,122.22900603786051,18.901243106600422,71.79993020930921,88.69089139725199,-0.4327834187436932,-2.075538627902039,-0.25837702901030285,0.767853407653176,0.16689215265343377,0.0015722750522180289,all_bilateral,observed,4.623401676486719,1.9469487294666161,-1.8801063569007344,0.0,-2.075538627902039,18.901243106600422,71.79993020930921
201701,CN,society_humanitarian,244,63.2,65.77478770451033,25.332340970050574,9.15829213803048,47.83236661510909,0.24590043383615512,1.023438395137596,-0.11743639727713058,0.4624986381530222,0.1542123262039188,0.0024126073535714622,all_bilateral,observed,2.695004651816029,0.9965102587960618,0.7651389536896265,0.0,1.023438395137596,25.332340970050574,9.15829213803048
201701,US,diplomacy,1278,740.9,760.1659704601223,195.37644443177822,41.41328534461258,553.5501713104211,0.20253887318051478,1.3386228499839734,-0.027328939640883856,0.055426884581755216,0.18959509615166303,0.004189869133592483,all_bilateral,observed,0.5617135747336315,1.124117810499779,0.7756784031476079,0.0,1.3386228499839734,195.37644443177822,41.41328534461258
201701,US,economy,235,117.65,121.83166141179746,68.30085020034595,8.400948756533975,85.84129197127024,0.49166120489276705,2.348261421845958,-0.04112058290398069,0.8774869764472097,0.1288986484834297,0.008227501418976553,all_bilateral,observed,2.9729846863843243,2.054138090109982,1.1838896785498383,0.0,2.348261421845958,68.30085020034595,8.400948756533975
201701,US,law,160,62.4,66.37059454664818,11.595706081161568,13.92234392059693,48.55440329897145,-0.03505525082798676,-0.14546049646455717,-0.13548195034125984,0.5075348415754091,0.10203646342834391,0.003869812299754841,all_bilateral,observed,0.6323480591761332,0.425664293075102,-0.02626978336460423,0.0,-0.14546049646455717,11.595706081161568,13.92234392059693
201701,US,politics,1086,277.7,285.95902330530873,41.73750079335583,34.311031231911564,210.63886426209808,0.025970397701055494,0.14621686932965455,-0.10025008524984245,0.12667726718597497,0.18883261512345012,0.005692825367536291,all_bilateral,observed,0.39719896720002706,0.2152125537151516,0.13018591321866424,0.0,0.14621686932965455,41.73750079335583,34.311031231911564
201701,US,security,291,161.65,163.2098232075535,17.05298271916197,105.19030081770175,120.99936447221994,-0.540024591451556,-2.749589562427254,-0.24851702980955875,0.6988907770884347,0.1451530958588447,0.005508857887930491,all_bilateral,observed,1.2266345472505231,2.234255145156867,-2.234255145156867,0.0,-2.749589562427254,17.05298271916197,105.19030081770175
201701,US,society_humanitarian,339,87.7,89.04610685901062,32.826787339209865,12.142344625412091,65.96801544192927,0.23228913024292092,1.0418771186025653,-0.09389630164484122,0.3420852529610579,0.16607771342093017,0.005732346094144049,all_bilateral,observed,1.6625216155352216,1.1433527424645564,0.8546030097952169,0.0,1.0418771186025653,32.826787339209865,12.142344625412091
201701,CN,diplomacy,89,14.4,15.311350292018433,9.181344261257502,0.22140546864517777,10.869615881901607,0.5851827971882401,1.6001048277027934,-0.07429225495224835,0.7444310000778065,0.19862401491314202,0.003444495362839066,direct_trade,observed,1.9898370340699758,1.1404711452947862,0.5739644935455741,0.0,1.6001048277027934,9.181344261257502,0.22140546864517777
201701,CN,economy,120,74.9,79.72652369191572,45.348085777153294,4.470168249463823,57.164198473904094,0.5127267016639595,2.21980753672214,-0.09702495885356667,0.8734986275878801,0.17492532354536966,0.004071576836159569,direct_trade,observed,3.454157707353388,1.9274631369341095,0.8632829184131792,0.0,2.21980753672214,45.348085777153294,4.470168249463823
201701,CN,law,31,7.75,8.44661814278507,0.0,4.557488196950169,5.899443949426224,-0.5395636596692942,-1.1703425525906046,-0.2952538538422602,1.0,0.032300772654623326,0.0,direct_trade,observed,1.1613613403363532,0.643509277238403,-0.626381484247684,0.0,-1.1703425525906046,0.0,4.557488196950169
201701,CN,politics,111,13.85,14.997846855889742,2.978695801737869,5.309024550372049,10.51573573453508,-0.15537755325985653,-0.4192086177577669,-0.21810943219060766,0.8897305195882549,0.09469821238844559,0.0007276572296065937,direct_trade,observed,2.3608757103725075,0.5477073925104257,-0.5477073925104257,0.0,-0.4192086177577669,2.978695801737869,5.309024550372049
201701,CN,security,31,7.75,8.44661814278507,0.0,4.557488196950169,5.899443949426224,-0.5395636596692942,-1.1703425525906046,-0.2952538538422602,1.0,0.032300772654623326,0.0,direct_trade,observed,1.1613613403363532,0.643509277238403,-0.626381484247684,0.0,-1.1703425525906046,0.0,4.557488196950169
201701,CN,society_humanitarian,9,1.3499999999999999,1.2287180932115074,0.9092513889765155,0.0,0.9965684599721508,0.74,0.63226734283549,0.051726351314674825,1.0,0.10811534551419635,0.024415689950156777,direct_trade,observed,0.5598323058143067,0.27495703176003744,0.27495703176003744,0.0,0.63226734283549,0.9092513889765155,0.0
201701,US,diplomacy,111,16.45,17.200222587747234,10.951887138342894,0.0,12.18189219951355,0.6367293843130024,1.8206255740256754,-0.040705194342475784,0.847027394794069,0.13494623089433508,0.009085616430394875,direct_trade,observed,1.5803077709748528,1.1589392603695787,0.648123106644203,0.0,1.8206255740256754,10.951887138342894,0.0
201701,US,economy,151,94.5,98.77225118318958,58.83070233949931,4.8307237752287815,69.34892312238853,0.5467120361984924,2.492529194049437,-0.045482912889991414,0.9307394197012566,0.13146092543474908,0.007496550474801349,direct_trade,observed,2.746915367440466,2.0634848941306223,1.1840399105070674,0.0,2.492529194049437,58.83070233949931,4.8307237752287815
201701,US,law,40,10.0,10.236439769068534,0.0,5.557399010091902,7.134204359653535,-0.5429035031187994,-1.3018257437142446,-0.2063582940466855,1.0,0.02162914779357165,0.005330609049348095,direct_trade,observed,1.5293191331504792,1.0611029373552938,-0.42077602871030273,0.0,-1.3018257437142446,0.0,5.557399010091902
