EventBaseCode,EventRootCode,mapping_level,is_direct_trade,domain,weight
035,3,base_override,False,diplomacy,0.25
035,3,base_override,False,economy,0.0
035,3,base_override,False,law,0.15
035,3,base_override,False,politics,0.6
035,3,base_override,False,security,0.0
035,3,base_override,False,society_humanitarian,0.0
036,3,base_override,False,diplomacy,0.15
036,3,base_override,False,economy,0.0
036,3,base_override,False,law,0.45
036,3,base_override,False,politics,0.15
036,3,base_override,False,security,0.0
036,3,base_override,False,society_humanitarian,0.25
037,3,base_override,False,diplomacy,0.35
037,3,base_override,False,economy,0.0
037,3,base_override,False,law,0.0
037,3,base_override,False,politics,0.1
037,3,base_override,False,security,0.55
037,3,base_override,False,society_humanitarian,0.0
038,3,base_override,False,diplomacy,0.75
038,3,base_override,False,economy,0.0
038,3,base_override,False,law,0.0
038,3,base_override,False,politics,0.1
038,3,base_override,False,security,0.15
038,3,base_override,False,society_humanitarian,0.0
039,3,root_fallback,False,diplomacy,0.8
039,3,root_fallback,False,economy,0.0
039,3,root_fallback,False,law,0.0
039,3,root_fallback,False,politics,0.2
039,3,root_fallback,False,security,0.0
039,3,root_fallback,False,society_humanitarian,0.0
040,4,root_fallback,False,diplomacy,0.8
040,4,root_fallback,False,economy,0.0
040,4,root_fallback,False,law,0.0
040,4,root_fallback,False,politics,0.2
040,4,root_fallback,False,security,0.0
040,4,root_fallback,False,society_humanitarian,0.0
041,4,root_fallback,False,diplomacy,0.8
041,4,root_fallback,False,economy,0.0
041,4,root_fallback,False,law,0.0
041,4,root_fallback,False,politics,0.2
041,4,root_fallback,False,security,0.0
041,4,root_fallback,False,society_humanitarian,0.0
042,4,root_fallback,False,diplomacy,0.8
042,4,root_fallback,False,economy,0.0
042,4,root_fallback,False,law,0.0
042,4,root_fallback,False,politics,0.2
042,4,root_fallback,False,security,0.0
042,4,root_fallback,False,society_humanitarian,0.0
043,4,root_fallback,False,diplomacy,0.8
043,4,root_fallback,False,economy,0.0
043,4,root_fallback,False,law,0.0
043,4,root_fallback,False,politics,0.2
043,4,root_fallback,False,security,0.0
043,4,root_fallback,False,society_humanitarian,0.0
044,4,root_fallback,False,diplomacy,0.8
044,4,root_fallback,False,economy,0.0
044,4,root_fallback,False,law,0.0
044,4,root_fallback,False,politics,0.2
044,4,root_fallback,False,security,0.0
044,4,root_fallback,False,society_humanitarian,0.0
045,4,root_fallback,False,diplomacy,0.8
045,4,root_fallback,False,economy,0.0
045,4,root_fallback,False,law,0.0
045,4,root_fallback,False,politics,0.2
045,4,root_fallback,False,security,0.0
045,4,root_fallback,False,society_humanitarian,0.0
046,4,root_fallback,False,diplomacy,0.8
046,4,root_fallback,False,economy,0.0
046,4,root_fallback,False,law,0.0
046,4,root_fallback,False,politics,0.2
046,4,root_fallback,False,security,0.0
046,4,root_fallback,False,society_humanitarian,0.0
