month,CN_diplomacy_shock,CN_economy_shock,CN_law_shock,CN_politics_shock,CN_security_shock,CN_society_humanitarian_shock,US_diplomacy_shock,US_economy_shock,US_law_shock,US_politics_shock,US_security_shock,US_society_humanitarian_shock
201701,1.5242296323313225,2.2318228070315773,-0.9712451594138222,-0.0759805333616266,-0.7203136741130975,0.8283253616559432,1.6341938410432513,2.5003801220845108,-1.1535764993040771,-0.16665318428228462,-1.0318864511301427,1.2877703771036257
201702,1.4509386240234003,2.256726276561465,-0.3492420535560376,0.3069514445197204,-0.8755725316271782,1.2043625836261662,1.6288744318546513,2.4642821351806754,-0.7299668038527896,-0.018981457627481737,-0.7906081904414799,1.227307435289929
201703,1.4178317881986566,2.1597047493350425,-0.7066942311415333,0.12400277935955825,0.001434443948318957,1.0910782597496582,1.3488935348906146,2.215937073582432,-0.6344975857149884,0.11590486124351633,-0.844176446784951,0.8986795773809753
201704,1.7643445363527643,2.5754132662739044,-0.6762953604040977,0.6913855425286732,0.5197688579548677,1.0433184592805065,1.6496900224302227,2.1460304602756097,-0.7326643949222174,0.12537327616883603,-0.7512190649399554,0.8717359774206338
201705,1.9727740220021832,2.3727235843979857,-0.5709907984816005,0.48367988662736217,-0.13979672885103106,1.1258964664467725,1.7128780383746016,2.4001725106541776,-0.3101094068878438,0.23295913843354912,-0.8016495721698427,1.2340985033313314
201706,1.1170971908209242,1.980166045287556,-0.8598002602994216,-0.11903502532784074,-0.9281108188294804,1.0381012858936898,1.4472791902660098,1.780014280682621,-1.0390910947526604,-0.3306911877317061,-0.951143148147507,0.7006989738487728
201707,1.0863465019725622,0.9124105392165893,-0.6959976340851007,-0.5608811911861451,-1.0799659574968097,1.1183691829847406,1.4663485404430452,1.9739235976552048,-0.643382350423629,-0.19129829284129674,-0.8904960757497385,0.7173476133561327
201708,1.376506106856942,1.0378821588074414,-0.6420923550719384,-0.3046303069958463,-0.2373629614653855,1.27815279200398,1.3723935285380664,1.662049574827917,-0.9666488452532648,-0.4639793654701864,-0.8142395790250653,0.8727500416571973
201709,1.0300546710495389,1.4271181807288442,-1.006619247637291,-0.7539859795793604,-1.1368255421154616,1.3838708610836827,1.5187769846904797,2.259509962005883,-0.8976617952390298,-0.25741577490611095,-0.802892689259099,1.4271234985382573
201710,1.251430209749936,1.5778392158171592,-0.8701457072902246,-0.45957187850703846,-0.8858046727956546,0.9473521874691628,1.3756770865989156,2.0876786533766998,-0.9921674059315101,-0.1144687822804879,-0.4991773699093974,0.9539376054910521
