variant,loss,fit_objective,log_transition_objective,transition_probability_sum,forward_shortfall_penalty,seq_stability_penalty,regularization_a,regularization_mu,regularization_alpha,transition_observation_count,forward_observation_count,stability_actor_observation_count,elapsed_seconds,delta_vs_full_loss,delta_vs_full_fit_objective,delta_vs_full_log_transition_objective,delta_vs_full_transition_probability_sum,delta_vs_full_forward_shortfall_penalty,delta_vs_full_seq_stability_penalty,delta_vs_full_regularization_a,delta_vs_full_regularization_mu,delta_vs_full_regularization_alpha,delta_vs_full_transition_observation_count,delta_vs_full_forward_observation_count,delta_vs_full_stability_actor_observation_count
full,1.3690755817955884,-1.3690755817955884,-1.2223555696513406,4.133662954205492,0.0,0.21648153370632373,7.683971348449755,1.123734747662677,0.45225677565426775,11,11,50,172.5099480000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
no_historical_memory,1.3006822934846747,-1.3006822934846747,-1.1909938469159256,4.90459321261938,0.010264941835168169,0.20447226429609713,3.0296616722613607,1.3473037446071188,0.45357844908720835,11,11,50,166.41283499999918,-0.06839328831091374,0.06839328831091374,0.03136172273541504,0.7709302584138884,0.010264941835168169,-0.012009269410226592,-4.654309676188394,0.22356899694444188,0.0013216734329405955,0,0,0
no_forward_reward,1.4451727439621638,-1.4451727439621638,-1.2943061355826042,4.040560026418143,0.04197761897987312,0.11401887056487346,9.794085737239282,1.9619033365948457,0.48019999999999996,11,11,50,167.9171404000008,0.07609716216657536,-0.07609716216657536,-0.07195056593126359,-0.0931029277873483,0.04197761897987312,-0.10246266314145026,2.110114388789527,0.8381685889321688,0.02794322434573221,0,0,0
no_score_perturbation,1.440364683683941,-1.440364683683941,-1.2680240282859117,4.1689192652053215,0.0018574163322848355,0.25124932355567364,9.27244004625414,1.3653876981437747,0.1292630732846876,11,11,50,154.9414228000005,0.07128910188835258,-0.07128910188835258,-0.04566845863457103,0.03525631099982984,0.0018574163322848355,0.03476778984934992,1.5884686978043847,0.2416529504810978,-0.32299370236958014,0,0,0
no_nonlinear_saturation,1.4156069898600097,-1.4156069898600097,-1.2819020428435972,4.027783501663946,0.0017074227803386668,0.10847303636470902,8.029866353869977,1.5917093330691447,0.8663508275505508,11,11,50,168.69883689999915,0.04653140806442124,-0.04653140806442124,-0.05954647319225659,-0.1058794525415454,0.0017074227803386668,-0.1080084973416147,0.3458950054202221,0.46797458540646786,0.41409405189628307,0,0,0
no_stability_penalty,1.2389054347017328,-1.2389054347017328,-1.15162084759984,4.7516940975957525,0.009837978928072536,0.3326559523104055,5.66076547241866,1.8344878804097235,0.24940746455367452,11,11,50,184.18237840000074,-0.13017014709385566,0.13017014709385566,0.07073472205150066,0.6180311433902608,0.009837978928072536,0.11617441860408179,-2.0232058760310947,0.7107531327470467,-0.20284931110059323,0,0,0
