phase,generation,best_loss,median_loss,worst_loss,step,current_loss
differential_evolution,0.0,2.6476383597435396,3.9475739355375485,5.7356761783569175,,
differential_evolution,1.0,2.6476383597435396,3.6716556906129667,4.971260343964747,,
differential_evolution,2.0,2.6476383597435396,3.3957741816983713,4.640924245915119,,
differential_evolution,3.0,2.4618293202840076,3.3037902661671463,4.390870428584024,,
differential_evolution,4.0,2.4618293202840076,3.2250272389060086,4.125304725645578,,
differential_evolution,5.0,2.2797610294951425,3.1300315473721008,4.040338579053504,,
differential_evolution,6.0,2.2797610294951425,3.027452697319555,3.9889903729062266,,
differential_evolution,7.0,2.1887932970245303,2.9592671137848257,3.9889903729062266,,
differential_evolution,8.0,2.1706429823708384,2.8976508532750476,3.6860493420836185,,
differential_evolution,9.0,2.1706429823708384,2.843917459660421,3.5277771508331677,,
differential_evolution,10.0,2.1371978735138004,2.7814317802198727,3.4720710143979256,,
differential_evolution,11.0,2.1371978735138004,2.762216073939193,3.3417769528785484,,
differential_evolution,12.0,2.1371978735138004,2.7260076950484153,3.3417769528785484,,
differential_evolution,13.0,2.1225467096937005,2.6882604147061615,3.2376572364443432,,
differential_evolution,14.0,2.1225467096937005,2.617569248982452,3.1086878299787686,,
differential_evolution,15.0,2.106922957673638,2.597813514597643,3.1086878299787686,,
differential_evolution,16.0,2.106922957673638,2.562776716920585,3.1086878299787686,,
differential_evolution,17.0,2.106922957673638,2.5409167551542167,3.0148304248185873,,
differential_evolution,18.0,2.106922957673638,2.489229973059342,3.0148304248185873,,
differential_evolution,19.0,2.106922957673638,2.47525010459125,3.0148304248185873,,
differential_evolution,20.0,2.0991414708745375,2.447364474005063,3.0148304248185873,,
differential_evolution,21.0,2.0991414708745375,2.4187627853533895,2.7750892162646883,,
differential_evolution,22.0,2.0991414708745375,2.4041521617541255,2.721722696679186,,
differential_evolution,23.0,2.0779155508408893,2.375894441181682,2.721722696679186,,
differential_evolution,24.0,2.0779155508408893,2.362220103996284,2.692209247326297,,
differential_evolution,25.0,2.002551557766977,2.34784885680939,2.692209247326297,,
differential_evolution,26.0,2.002551557766977,2.333992752480887,2.692209247326297,,
differential_evolution,27.0,2.002551557766977,2.3228730479804005,2.692209247326297,,
differential_evolution,28.0,2.002551557766977,2.304636442055478,2.6827426850094955,,
differential_evolution,29.0,2.002551557766977,2.294429471642028,2.6827426850094955,,
differential_evolution,30.0,2.002551557766977,2.2874126313384737,2.6634908495146847,,
differential_evolution,31.0,1.9704956181621753,2.263850820782868,2.6130085536771928,,
differential_evolution,32.0,1.9704956181621753,2.2580559566016505,2.5591246398869396,,
differential_evolution,33.0,1.9704956181621753,2.247032662381313,2.5591246398869396,,
differential_evolution,34.0,1.9704956181621753,2.2354535403474562,2.487216843708243,,
differential_evolution,35.0,1.9704956181621753,2.218959676667447,2.464740093385727,,
differential_evolution,36.0,1.9439091735435068,2.208088966504224,2.4382972149835194,,
differential_evolution,37.0,1.9439091735435068,2.204860406428974,2.4382972149835194,,
differential_evolution,38.0,1.9439091735435068,2.196763050502036,2.4382972149835194,,
differential_evolution,39.0,1.9439091735435068,2.1879353620755384,2.4382972149835194,,
differential_evolution,40.0,1.9076004216900206,2.185463446954083,2.4382972149835194,,
differential_evolution,41.0,1.9076004216900206,2.1737348708412902,2.4382972149835194,,
differential_evolution,42.0,1.9076004216900206,2.1660717860818504,2.4382972149835194,,
differential_evolution,43.0,1.8487766313520697,2.1556540627494005,2.4382972149835194,,
differential_evolution,44.0,1.8487766313520697,2.1458172971673033,2.4382972149835194,,
differential_evolution,45.0,1.8487766313520697,2.1418283084859233,2.4382972149835194,,
differential_evolution,46.0,1.8487766313520697,2.129961767230588,2.4382972149835194,,
differential_evolution,47.0,1.778524287293743,2.1276455233857248,2.377845444312908,,
differential_evolution,48.0,1.778524287293743,2.1223917155241407,2.3626444751772,,
differential_evolution,49.0,1.778524287293743,2.1200601292883077,2.3492169796823497,,
differential_evolution,50.0,1.778524287293743,2.1159420811068994,2.2772216632949602,,
differential_evolution,51.0,1.778524287293743,2.098181020681799,2.2772216632949602,,
differential_evolution,52.0,1.778524287293743,2.093505036493471,2.2772216632949602,,
differential_evolution,53.0,1.778524287293743,2.077577008420442,2.2772216632949602,,
differential_evolution,54.0,1.778524287293743,2.0703096407769612,2.2772216632949602,,
differential_evolution,55.0,1.778524287293743,2.067705136855606,2.2772216632949602,,
differential_evolution,56.0,1.778524287293743,2.0560238788454424,2.2772216632949602,,
differential_evolution,57.0,1.778524287293743,2.0481890153274325,2.2772216632949602,,
differential_evolution,58.0,1.778524287293743,2.0481890153274325,2.2772216632949602,,
differential_evolution,59.0,1.778524287293743,2.0417512988371653,2.2772216632949602,,
differential_evolution,60.0,1.778524287293743,2.039533842490123,2.2772216632949602,,
differential_evolution,61.0,1.778524287293743,2.0325162845760074,2.2772216632949602,,
differential_evolution,62.0,1.778524287293743,2.0302931611774415,2.2772216632949602,,
differential_evolution,63.0,1.7423202958685733,2.0286452416654814,2.2772216632949602,,
differential_evolution,64.0,1.6601395664915854,2.0235417671747267,2.2772216632949602,,
differential_evolution,65.0,1.6601395664915854,2.019268426762074,2.2772216632949602,,
differential_evolution,66.0,1.6601395664915854,2.0132519783808074,2.2772216632949602,,
differential_evolution,67.0,1.6601395664915854,2.01110300679153,2.2772216632949602,,
differential_evolution,68.0,1.6601395664915854,2.0051967930914003,2.2772216632949602,,
differential_evolution,69.0,1.6601395664915854,1.9963111074199213,2.2772216632949602,,
differential_evolution,70.0,1.6601395664915854,1.9919491282101616,2.2772216632949602,,
differential_evolution,71.0,1.6601395664915854,1.990522509518219,2.2772216632949602,,
differential_evolution,72.0,1.6601395664915854,1.9799143409815578,2.2772216632949602,,
differential_evolution,73.0,1.6601395664915854,1.9733945792257808,2.2772216632949602,,
differential_evolution,74.0,1.6601395664915854,1.9715471846228034,2.2772216632949602,,
differential_evolution,75.0,1.6601395664915854,1.9706843499656563,2.2772216632949602,,
differential_evolution,76.0,1.6601395664915854,1.9637469894454145,2.2772216632949602,,
differential_evolution,77.0,1.6601395664915854,1.9637469894454145,2.2772216632949602,,
differential_evolution,78.0,1.6601395664915854,1.9565544262837578,2.2772216632949602,,
differential_evolution,79.0,1.6601395664915854,1.9543701570316157,2.246011381930349,,
differential_evolution,80.0,1.6601395664915854,1.9528981259654743,2.246011381930349,,
differential_evolution,81.0,1.6601395664915854,1.9487370994760045,2.2001144717473053,,
differential_evolution,82.0,1.6601395664915854,1.944102068930573,2.2001144717473053,,
differential_evolution,83.0,1.6601395664915854,1.9423464382413766,2.2001144717473053,,
differential_evolution,84.0,1.6601395664915854,1.9405679209324436,2.1596344654536317,,
differential_evolution,85.0,1.6601395664915854,1.927950775784071,2.1596344654536317,,
differential_evolution,86.0,1.6601395664915854,1.9245896389595938,2.1596344654536317,,
differential_evolution,87.0,1.6601395664915854,1.9225275847944876,2.1596344654536317,,
differential_evolution,88.0,1.6601395664915854,1.9201014184376874,2.1596344654536317,,
