状态编号,U1[US],U2[US],U3[US],U4[US],C1[C0],C2[C0],C3[C0],C4[C0],U1*C1,U1*U3,U2*C2,U3*C3,U4*C4,U2*C4,C2*C3,U1*U4,U2*C1,U4*C1,D1美国经济福利与企业成本,D2美国结构性议题施压收益,D3美国国内政治支持,D4美国政策可信度与冲突控制,D5美国谈判控制与达约收益
46,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.53,0.425,0.565,0.7,0.73
47,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0.39,0.55,0.645,0.58,0.73
48,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0.63,0.37,0.565,0.8,0.8
49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.6,0.575,0.58,0.6,0.65
50,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.535,0.725,0.68,0.535,0.725
51,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0.7,0.535,0.62,0.7,0.74
52,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.645,0.535,0.625,0.72,0.77
53,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0.58,0.685,0.725,0.655,0.845
54,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0.745,0.495,0.665,0.82,0.86
55,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.695,0.575,0.675,0.8,0.87
56,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0.63,0.725,0.775,0.735,0.945
57,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0.795,0.535,0.715,0.9,0.95
58,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0.385,0.69,0.66,0.405,0.635
59,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0.65,0.45,0.565,0.68,0.72
60,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0.43,0.65,0.705,0.525,0.755
61,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0.695,0.41,0.61,0.8,0.84
62,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0.605,0.515,0.635,0.74,0.82
63,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0.48,0.69,0.755,0.605,0.855
64,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0.745,0.45,0.66,0.88,0.94
65,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.71,0.59,0.68,0.87,0.94
66,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.63,0.69,0.74,0.82,0.95
67,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0.77,0.56,0.695,0.93,0.95
68,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0.62,0.53,0.64,0.81,0.89
69,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0.48,0.655,0.72,0.69,0.89
70,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0.72,0.475,0.64,0.91,0.95
71,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.805,0.715,0.78,0.935,0.95
72,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0.74,0.865,0.88,0.87,0.95
73,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0.905,0.675,0.82,0.95,0.95
74,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0.715,0.655,0.74,0.875,0.95
75,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0.59,0.83,0.86,0.74,0.95
76,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0.855,0.59,0.765,0.95,0.95
