状态编号,U1[US],U2[US],U3[US],U4[US],C1[C0],C2[C0],C3[C0],C4[C0],U1*C1,U1*U3,U2*C2,U3*C3,U4*C4,U2*C4,C2*C3,U1*U4,U2*C1,D1中国经济福利与市场准入,D2中国战略自主与体系韧性,D3中国国内政治合法性,D4中国冲突升级与风险控制,D5中国谈判杠杆与达约收益
47,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0.38,0.655,0.74,0.515,0.77
48,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0.605,0.6,0.695,0.775,0.9
49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.605,0.42,0.48,0.63,0.65
50,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.49,0.305,0.36,0.505,0.555
51,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.69,0.395,0.48,0.74,0.755
52,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0.655,0.44,0.51,0.76,0.77
53,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0.54,0.325,0.39,0.635,0.675
54,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0.74,0.415,0.51,0.87,0.875
55,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0.705,0.46,0.535,0.835,0.87
56,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0.59,0.345,0.415,0.71,0.775
57,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0.79,0.435,0.535,0.945,0.95
58,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0.37,0.475,0.525,0.345,0.585
59,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0.62,0.495,0.57,0.65,0.805
60,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0.42,0.495,0.555,0.475,0.705
61,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0.67,0.515,0.6,0.78,0.925
62,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0.635,0.56,0.625,0.745,0.92
63,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0.47,0.515,0.58,0.55,0.805
64,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0.72,0.535,0.625,0.855,0.95
65,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0.705,0.455,0.585,0.885,0.95
66,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0.58,0.43,0.565,0.775,0.9
67,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0.755,0.445,0.595,0.95,0.95
68,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0.635,0.555,0.675,0.795,0.95
69,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0.46,0.6,0.73,0.615,0.93
70,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0.685,0.545,0.685,0.875,0.95
71,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0.805,0.37,0.49,0.95,0.95
72,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0.69,0.255,0.37,0.83,0.93
73,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0.89,0.345,0.49,0.95,0.95
74,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.735,0.47,0.58,0.865,0.95
75,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0.57,0.425,0.535,0.67,0.93
76,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0.82,0.445,0.58,0.95,0.95
