month,country,domain,data_status,preference_update_impact,weekly_variation,weekly_peak,weekly_recent
201701,CN,diplomacy,observed,1.5242296323313225,0.7461340875912181,1.2173124063189809,0.7653938593654703
201701,CN,economy,observed,2.2318228070315773,3.4225751406293465,1.9427453778443842,0.9100492087548843
201701,CN,law,observed,-0.9712451594138222,0.33225472911591686,0.6005152508082621,-0.6005152508082621
201701,CN,politics,observed,-0.0759805333616266,1.94258134033336,0.32964581605428717,-0.32964581605428717
201701,CN,security,observed,-0.7203136741130975,1.0711592826178804,0.5883535095422607,-0.5239629884451625
201701,CN,society_humanitarian,observed,0.8283253616559432,0.9384673603833563,0.49775300315345583,0.397323694085141
201701,US,diplomacy,observed,1.6341938410432513,1.5029387437278072,1.3732328077537643,0.38833153377500046
201701,US,economy,observed,2.5003801220845108,2.840722094285899,2.0941202763159237,1.1941582959183044
201701,US,law,observed,-1.1535764993040771,1.4350431037486113,1.0324034245496978,-0.38609334121987676
201701,US,politics,observed,-0.16665318428228462,1.2651681928582068,0.43258427368525604,-0.07955719476431869
201701,US,security,observed,-1.0318864511301427,2.78724999538036,1.0423256232655391,-0.5004969723409174
201701,US,society_humanitarian,observed,1.2877703771036257,1.6834090123715306,0.8984966113862917,0.11358421040105281
201702,CN,diplomacy,observed,1.4509386240234003,2.3590263836040544,1.3778885473526044,1.2733091129781193
201702,CN,economy,observed,2.256726276561465,1.7444479517288718,1.5542800331671343,1.4947808340433943
201702,CN,law,observed,-0.3492420535560376,0.8331474890457523,0.4208963662091884,-0.008645243372624581
201702,CN,politics,observed,0.3069514445197204,0.38910400970855774,0.38910400970855774,0.38910400970855774
201702,CN,security,observed,-0.8755725316271782,1.4831702172669603,0.7598172643128757,-0.036464311358790934
201702,CN,society_humanitarian,observed,1.2043625836261662,2.1999602900419055,1.0985030130105344,0.2764345627499351
201702,US,diplomacy,observed,1.6288744318546513,1.8317587047178705,1.4141580258368758,0.996557346955881
201702,US,economy,observed,2.4642821351806754,1.9586395276073614,1.9586395276073614,1.9586395276073614
