seed_count_a,seed_count_b,added_seed_count,CN_squared_difference_sum,US_squared_difference_sum,combined_squared_difference_sum,CN_mean_squared_difference,US_mean_squared_difference,combined_mean_squared_difference
10,500,490,82.663288000000,56.345664000000,139.008952000000,0.014311511080,0.009755135734,0.012033323407
20,500,480,43.503488000000,12.669264000000,56.172752000000,0.007531767313,0.002193432133,0.004862599723
30,500,470,25.037599111111,16.193397333333,41.230996444444,0.004334764389,0.002803566020,0.003569165205
40,500,460,12.867738000000,15.520814000000,28.388552000000,0.002227793975,0.002687121537,0.002457457756
50,500,450,9.854168000000,11.527104000000,21.381272000000,0.001706054017,0.001995689751,0.001850871884
60,500,440,9.274532444444,10.980197333333,20.254729777778,0.001605701600,0.001901003693,0.001753352647
70,500,430,9.688855346939,12.390594612245,22.079449959184,0.001677433405,0.002145186048,0.001911309726
80,500,420,8.985113000000,7.024276500000,16.009389500000,0.001555594356,0.001216114352,0.001385854354
90,500,410,7.641144790123,6.086039308642,13.727184098765,0.001322912879,0.001053677166,0.001188295022
100,500,400,5.268688000000,4.191424000000,9.460112000000,0.000912168975,0.000725662050,0.000818915512
110,500,390,3.952940892562,3.129670611570,7.082611504132,0.000684373423,0.000541840480,0.000613106952
120,500,380,2.420649111111,2.889286222222,5.309935333333,0.000419087450,0.000500222684,0.000459655067
130,500,370,2.537446579882,2.960158674556,5.497605254438,0.000439308618,0.000512492845,0.000475900732
140,500,360,3.459598204082,6.450006857143,9.909605061224,0.000598960908,0.001116690938,0.000857825923
150,500,350,3.722488000000,8.921112888889,12.643600888889,0.000644475069,0.001544514004,0.001094494537
160,500,340,4.555188000000,5.728676500000,10.283864500000,0.000788640582,0.000991806873,0.000890223727
170,500,330,3.302551667820,2.745063307958,6.047614975779,0.000571771411,0.000475253343,0.000523512377
180,500,320,3.361705283951,4.639888691358,8.001593975309,0.000582012688,0.000803304829,0.000692658758
190,500,310,3.849220409972,4.751942116343,8.601162526316,0.000666416276,0.000822704660,0.000744560468
200,500,300,3.736778000000,5.763044000000,9.499822000000,0.000646949100,0.000997756925,0.000822353012
210,500,290,3.382141514739,4.203775564626,7.585917079365,0.000585550816,0.000727800479,0.000656675647
220,500,280,4.027686347107,3.069298710744,7.096985057851,0.000697314118,0.000531388281,0.000614351200
230,500,270,4.124225618147,3.480522223062,7.604747841210,0.000714027981,0.000602583487,0.000658305734
240,500,260,4.404638000000,2.686373722222,7.091011722222,0.000762575831,0.000465092403,0.000613834117
250,500,250,4.929912000000,1.948864000000,6.878776000000,0.000853516620,0.000337407202,0.000595461911
260,500,240,5.268336520710,2.314297136095,7.582633656805,0.000912108123,0.000400674712,0.000656391418
270,500,230,4.768154941015,2.991283753086,7.759438694102,0.000825511590,0.000517881536,0.000671696563
280,500,220,4.293459428571,3.354969102041,7.648428530612,0.000743327463,0.000580846451,0.000662086957
290,500,210,3.357972423306,2.317878982164,5.675851405470,0.000581366417,0.000401294838,0.000491330627
300,500,200,3.371154666667,2.492886222222,5.864040888889,0.000583648661,0.000431593875,0.000507621268
310,500,190,2.296744815817,2.010333302810,4.307078118626,0.000397635875,0.000348049395,0.000372842635
320,500,180,2.524608312500,2.270514000000,4.795122312500,0.000437085927,0.000393094529,0.000415090228
330,500,170,1.583424639118,1.727467489440,3.310892128558,0.000274138615,0.000299076781,0.000286607698
340,500,160,1.229234712803,1.390870228374,2.620104941176,0.000212817644,0.000240801632,0.000226809638
350,500,150,1.195555755102,1.041915428571,2.237471183673,0.000206986800,0.000180387020,0.000193686910
360,500,140,1.081730592593,0.875441777778,1.957172370370,0.000187280227,0.000151565405,0.000169422816
370,500,130,0.799192163623,0.801068528853,1.600260692476,0.000138364294,0.000138689150,0.000138526722
380,500,120,0.655412653740,0.580944886427,1.236357540166,0.000113471720,0.000100579101,0.000107025410
390,500,110,0.650744673241,0.633537241289,1.284281914530,0.000112663551,0.000109684425,0.000111173988
400,500,100,0.328075500000,0.546664000000,0.874739500000,0.000056799775,0.000094644044,0.000075721910
410,500,90,0.204193651398,0.493392256990,0.697585908388,0.000035352086,0.000085421097,0.000060386592
420,500,80,0.194922013605,0.474378285714,0.669300299320,0.000033746886,0.000082129205,0.000057938045
430,500,70,0.157234565711,0.328440852353,0.485675418064,0.000027222051,0.000056863028,0.000042042540
440,500,60,0.109807008264,0.240407801653,0.350214809917,0.000019010909,0.000041621849,0.000030316379
450,500,50,0.095862814815,0.079218567901,0.175081382716,0.000016596748,0.000013715126,0.000015155937
460,500,40,0.108575712665,0.093364567108,0.201940279773,0.000018797734,0.000016164226,0.000017480980
470,500,30,0.067517606157,0.062565041195,0.130082647352,0.000011689336,0.000010831898,0.000011260617
480,500,20,0.027970291667,0.033315388889,0.061285680556,0.000004842502,0.000005767900,0.000005305201
490,500,10,0.026017862557,0.009655336943,0.035673199500,0.000004504478,0.000001671630,0.000003088054
500,500,0,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
