seed_count_a,seed_count_b,added_seed_count,CN_squared_difference_sum,US_squared_difference_sum,combined_squared_difference_sum,CN_mean_squared_difference,US_mean_squared_difference,combined_mean_squared_difference
10,20,10,17.905000000000,31.530000000000,49.435000000000,0.003099896122,0.005458795014,0.004279345568
10,30,20,31.084444444444,26.460000000000,57.544444444444,0.005381655894,0.004581024931,0.004981340412
10,40,30,53.141250000000,30.123750000000,83.265000000000,0.009200354917,0.005215330679,0.007207842798
10,50,40,69.723200000000,40.381600000000,110.104800000000,0.012071191136,0.006991274238,0.009531232687
10,60,50,56.714444444444,39.470000000000,96.184444444444,0.009818982764,0.006833448753,0.008326215759
10,70,60,58.389795918367,34.975102040816,93.364897959184,0.010109036689,0.006055246198,0.008082141444
10,80,70,55.438125000000,59.537812500000,114.975937500000,0.009598013331,0.010307793023,0.009952903177
10,90,80,56.070123456790,61.666419753086,117.736543209877,0.009707431346,0.010676319209,0.010191875278
10,100,90,59.886200000000,58.086800000000,117.973000000000,0.010368109418,0.010056578947,0.010212344183
10,110,100,61.918016528926,58.153388429752,120.071404958678,0.010719878208,0.010068107415,0.010393992812
10,120,110,73.560694444444,60.307222222222,133.867916666667,0.012735577293,0.010441001077,0.011588289185
10,130,120,74.422958579882,65.203786982249,139.626745562130,0.012884861250,0.011288744284,0.012086802767
10,140,130,64.689795918367,82.430000000000,147.119795918367,0.011199756911,0.014271121884,0.012735439397
10,150,140,62.782133333333,93.521422222222,156.303555555556,0.010869482918,0.016191381964,0.013530432441
10,160,150,58.916250000000,82.484062500000,141.400312500000,0.010200181787,0.014280481735,0.012240331761
10,170,160,62.768581314879,68.120622837370,130.889204152249,0.010867136654,0.011793736641,0.011330436648
10,180,170,62.955617283951,80.188580246914,143.144197530864,0.010899518228,0.013883064447,0.012391291338
10,190,180,59.712963988920,80.430193905817,140.143157894737,0.010338117034,0.013924895067,0.012131506050
10,200,190,59.496250000000,84.623300000000,144.119550000000,0.010300597299,0.014650848338,0.012475722819
10,210,200,60.742358276644,78.990340136054,139.732698412698,0.010516336267,0.013675612904,0.012095974586
10,220,210,59.219380165289,74.443016528926,133.662396694215,0.010252662771,0.012888333887,0.011570498329
10,230,220,58.616068052930,75.292249527410,133.908317580340,0.010148211228,0.013035361760,0.011591786494
10,240,230,56.750416666667,72.966909722222,129.717326388889,0.009825210642,0.012632775229,0.011228992935
10,250,240,55.576672000000,69.593856000000,125.170528000000,0.009622000000,0.012048797784,0.010835398892
10,260,250,54.534556213018,72.093402366864,126.627958579882,0.009441578292,0.012481544731,0.010961561511
10,270,260,55.179533607682,74.853827160494,130.033360768176,0.009553243353,0.012959457611,0.011256350482
10,280,270,56.665714285714,76.905076530612,133.570790816327,0.009810546102,0.013314590812,0.011562568457
10,290,280,59.522877526754,72.917621878716,132.440499405470,0.010305207328,0.012624242015,0.011464724672
10,300,290,60.019866666667,74.588288888889,134.608155555556,0.010391251154,0.012913484918,0.011652368036
10,310,300,64.614360041623,72.202372528616,136.816732570239,0.011186696683,0.012500410756,0.011843553720
10,320,310,63.264570312500,73.345625000000,136.610195312500,0.010953007326,0.012698342278,0.011825674802
10,330,320,66.892451790634,70.393076216713,137.285528007346,0.011581103149,0.012187166935,0.011884135042
10,340,330,67.976487889273,68.605276816609,136.581764705882,0.011768782529,0.011877644878,0.011823213704
10,350,340,68.685159183673,66.484342857143,135.169502040816,0.011891474928,0.011510447171,0.011700961049
10,360,350,69.049398148148,65.426666666667,134.476064814815,0.011954535690,0.011327331487,0.011640933589
10,370,360,71.954974433893,64.345069393718,136.300043827611,0.012457578676,0.011140074341,0.011798826509
10,380,370,74.198545706371,63.101301939058,137.299847645429,0.012846008606,0.010924740640,0.011885374623
10,390,380,73.625036160421,63.804365548981,137.429401709402,0.012746716787,0.011046462180,0.011896589483
10,400,390,78.227287500000,63.283300000000,141.510587500000,0.013543505454,0.010956250000,0.012249877727
10,410,400,80.882212968471,62.478381915526,143.360594883998,0.014003153215,0.010816894376,0.012410023795
10,420,410,81.698605442177,62.496904761905,144.195510204082,0.014144495402,0.010820101240,0.012482298321
10,430,420,79.990914007572,61.011130340725,141.002044348296,0.013848842453,0.010562868826,0.012205855640
10,440,430,82.312355371901,60.703471074380,143.015826446281,0.014250754046,0.010509603718,0.012380178882
10,450,440,81.977392592593,58.032879012346,140.010271604938,0.014192761875,0.010047243596,0.012120002736
10,460,450,85.595444234405,59.395387523629,144.990831758034,0.014819155858,0.010283134959,0.012551145408
10,470,460,82.534323223178,58.372322317791,140.906645540969,0.014289183384,0.010106011482,0.012197597433
10,480,470,82.562682291667,57.271701388889,139.834383680556,0.014294093195,0.009915460767,0.012104776981
10,490,480,83.450370678884,56.130587255310,139.580957934194,0.014447778857,0.009717899456,0.012082839156
10,500,490,82.663288000000,56.345664000000,139.008952000000,0.014311511080,0.009755135734,0.012033323407
20,30,10,7.389444444444,8.410000000000,15.799444444444,0.001279335950,0.001456024931,0.001367680440
20,40,20,19.036250000000,11.683750000000,30.720000000000,0.003295749654,0.002022809903,0.002659279778
20,50,30,29.004200000000,12.539600000000,41.543800000000,0.005021502770,0.002170983380,0.003596243075
20,60,40,21.819444444444,13.733333333333,35.552777777778,0.003777604648,0.002377654663,0.003077629655
20,70,50,22.257653061224,15.136530612245,37.394183673469,0.003853471790,0.002620590480,0.003237031135
20,80,60,20.783125000000,16.487812500000,37.270937500000,0.003598186461,0.002854538175,0.003226362318
20,90,70,21.497345679012,16.091975308642,37.589320987654,0.003721839626,0.002786006806,0.003253923216
20,100,80,24.733200000000,14.110800000000,38.844000000000,0.004282063712,0.002443005540,0.003362534626
20,110,90,26.953925619835,13.332479338843,40.286404958678,0.004666538369,0.002308254733,0.003487396551
20,120,100,34.892361111111,14.338888888889,49.231250000000,0.006040921245,0.002482494614,0.004261707929
20,130,110,35.281804733728,15.204556213018,50.486360946746,0.006108345695,0.002632367765,0.004370356730
20,140,120,28.710510204082,21.808571428571,50.519081632653,0.004970656199,0.003775722200,0.004373189200
20,150,130,27.683133333333,26.211422222222,53.894555555556,0.004792786242,0.004537988612,0.004665387427
20,160,140,25.692500000000,21.769062500000,47.461562500000,0.004448147507,0.003768882012,0.004108514759
20,170,150,28.699463667820,16.369446366782,45.068910034602,0.004968743710,0.002834045424,0.003901394567
20,180,160,28.417283950617,20.795246913580,49.212530864198,0.004919889881,0.003600285130,0.004260087506
20,190,170,26.410595567867,20.674930747922,47.085526315789,0.004572471532,0.003579454769,0.004075963151
20,200,180,26.316250000000,21.977300000000,48.293550000000,0.004556137465,0.003804934211,0.004180535838
20,210,190,27.447358276644,19.689863945578,47.137222222222,0.004751966461,0.003408909963,0.004080438212
20,220,200,26.278016528926,17.922107438017,44.200123966942,0.004549518097,0.003102857936,0.003826188017
20,230,210,26.142807183365,18.507466918715,44.650274102079,0.004526109277,0.003204201336,0.003865155307
20,240,220,24.833750000000,17.974409722222,42.808159722222,0.004299471953,0.003111913041,0.003705692497
20,250,230,24.079272000000,16.718256000000,40.797528000000,0.004168849030,0.002894434903,0.003531641967
20,260,240,23.521094674556,17.464940828402,40.986035502959,0.004072211682,0.003023708592,0.003547960137
20,270,250,23.814903978052,18.563827160494,42.378731138546,0.004123078944,0.003213958996,0.003668518970
20,280,260,25.006428571429,19.524362244898,44.530790816327,0.004329367827,0.003380256621,0.003854812224
20,290,270,26.744429250892,18.217277051130,44.961706302021,0.004630268222,0.003153960708,0.003892114465
20,300,280,27.000200000000,18.409622222222,45.409822222222,0.004674549861,0.003187261465,0.003930905663
20,310,290,29.965811654527,17.462695109261,47.428506763788,0.005187986782,0.003023319790,0.004105653286
20,320,300,29.165195312500,18.182500000000,47.347695312500,0.005049375920,0.003147939751,0.004098657835
20,330,310,31.771391184573,17.150348943985,48.921740128558,0.005500587116,0.002969243238,0.004234915177
20,340,320,33.040311418685,16.357629757785,49.397941176471,0.005720275523,0.002831999612,0.004276137567
20,350,330,33.321016326531,15.873771428571,49.194787755102,0.005768874018,0.002748229125,0.004258551572
20,360,340,33.512731481481,15.648888888889,49.161620370370,0.005802065700,0.002709295168,0.004255680434
20,370,350,35.360514974434,15.217231555880,50.577746530314,0.006121972814,0.002634562250,0.004378267532
20,380,360,36.963019390582,14.857091412742,51.820110803324,0.006399414714,0.002572211117,0.004485812916
20,390,370,36.598241288626,14.768211702827,51.366452991453,0.006336260611,0.002556823356,0.004446541983
20,400,380,39.597287500000,14.679800000000,54.277087500000,0.006855486063,0.002541516620,0.004698501342
20,410,390,41.690139797739,14.370820939917,56.060960737656,0.007217821987,0.002488023016,0.004852922502
20,420,400,42.151224489796,14.337380952381,56.488605442177,0.007297649669,0.002482233544,0.004889941607
20,430,410,41.079634937804,13.774618712818,54.854253650622,0.007112125162,0.002384802409,0.004748463786
20,440,420,42.768719008264,13.632107438017,56.400826446281,0.007404556615,0.002360129404,0.004882343010
